"Step","optimizer_name: adam - train_loss","optimizer_name: adam - train_loss__MIN","optimizer_name: adam - train_loss__MAX","optimizer_name: nadam - train_loss","optimizer_name: nadam - train_loss__MIN","optimizer_name: nadam - train_loss__MAX","optimizer_name: sgd - train_loss","optimizer_name: sgd - train_loss__MIN","optimizer_name: sgd - train_loss__MAX","optimizer_name: sgdm - train_loss","optimizer_name: sgdm - train_loss__MIN","optimizer_name: sgdm - train_loss__MAX","optimizer_name: adamw - train_loss","optimizer_name: adamw - train_loss__MIN","optimizer_name: adamw - train_loss__MAX"
"0","13.597322781880697","13.35804557800293","13.804753303527832","13.597322781880697","13.35804557800293","13.804753303527832","14.124663352966309","14.124663352966309","14.124663352966309","13.71696138381958","13.629169464111328","13.804753303527832","13.597322781880697","13.35804557800293","13.804753303527832"
"1","2.2552530765533447","1.5688025951385498","2.735492706298828","1.9098714590072632","1.3952200412750244","2.784802198410034","9.036428451538086","9.036428451538086","9.036428451538086","8.74954891204834","8.743423461914062","8.755674362182617","2.2418034076690674","1.5675299167633057","2.7441513538360596"
"2","0.9384473562240601","0.8993786573410034","0.9645991325378418","1.0120454629262288","0.9727485179901123","1.0336675643920898","3.094578266143799","3.094578266143799","3.094578266143799","3.3001526594161987","3.1570982933044434","3.443207025527954","0.9280955791473389","0.8942701816558838","0.9546371698379517"
"3","0.6463258862495422","0.5293325185775757","0.7173653244972229","0.6815590063730875","0.628569483757019","0.7327313423156738","2.389469861984253","2.389469861984253","2.389469861984253","2.304121971130371","2.281304359436035","2.326939582824707","0.6368346214294434","0.5259869694709778","0.7156616449356079"
"4","0.5164210398991903","0.44654226303100586","0.5607506036758423","0.430202712615331","0.40421441197395325","0.470811665058136","2.0417797565460205","2.0417797565460205","2.0417797565460205","2.038697361946106","1.929656982421875","2.147737741470337","0.5160241921742758","0.44332724809646606","0.5563766956329346"
"5","0.40674954652786255","0.37725380063056946","0.4414614737033844","0.3143255114555359","0.30985337495803833","0.3178635239601135","1.862938642501831","1.862938642501831","1.862938642501831","1.865213692188263","1.8155224323272705","1.9149049520492554","0.4039151668548584","0.36771219968795776","0.434516578912735"
"6","0.36082956194877625","0.3252946734428406","0.38985303044319153","0.2912047207355499","0.26455044746398926","0.3102368414402008","1.7992162704467773","1.7992162704467773","1.7992162704467773","1.7013723850250244","1.6870205402374268","1.715724229812622","0.35838327805201214","0.31923708319664","0.3942299485206604"
"7","0.32353901863098145","0.2954300045967102","0.3402801752090454","0.2689026991526286","0.25750261545181274","0.2767273187637329","1.7562854290008545","1.7562854290008545","1.7562854290008545","1.7546972036361694","1.7209479808807373","1.7884464263916016","0.3243051568667094","0.2983265817165375","0.33865341544151306"
"8","0.33524348338445026","0.2985919117927551","0.37237340211868286","0.27485889196395874","0.25525933504104614","0.3014258146286011","1.7680031061172485","1.7680031061172485","1.7680031061172485","1.73304283618927","1.685012936592102","1.781072735786438","0.3345243036746979","0.29976823925971985","0.3681104779243469"
"9","0.32140032450358075","0.30622434616088867","0.3381470739841461","0.25759785374005634","0.2396765649318695","0.26913362741470337","1.7465651035308838","1.7465651035308838","1.7465651035308838","1.7040383219718933","1.679722547531128","1.7283540964126587","0.31983932852745056","0.3049507439136505","0.33443740010261536"
