"Step","optimizer_name: sgd - train_loss","optimizer_name: sgd - train_loss__MIN","optimizer_name: sgd - train_loss__MAX","optimizer_name: nadam - train_loss","optimizer_name: nadam - train_loss__MIN","optimizer_name: nadam - train_loss__MAX","optimizer_name: sgdm - train_loss","optimizer_name: sgdm - train_loss__MIN","optimizer_name: sgdm - train_loss__MAX","optimizer_name: adamw - train_loss","optimizer_name: adamw - train_loss__MIN","optimizer_name: adamw - train_loss__MAX","optimizer_name: adam - train_loss","optimizer_name: adam - train_loss__MIN","optimizer_name: adam - train_loss__MAX"
"0","17.770576000213623","17.517324447631836","18.049272537231445","17.770576000213623","17.517324447631836","18.049272537231445","17.677677154541016","17.517324447631836","17.871610641479492","17.770576000213623","17.517324447631836","18.049272537231445","17.770576000213623","17.517324447631836","18.049272537231445"
"1","13.635997533798218","13.25267219543457","14.0621919631958","12.258121490478516","10.866250038146973","13.817276000976562","13.842207908630371","13.300956726074219","14.291397094726562","12.302207469940186","10.739070892333984","14.321288108825684","13.200052976608276","10.803503036499023","14.916084289550781"
"2","5.769673943519592","5.394367218017578","5.988304615020752","7.5251305103302","6.6633148193359375","8.179161071777344","3.4358118375142417","3.018551826477051","4.005043029785156","5.526794016361237","3.0579068660736084","8.70039176940918","7.053916335105896","3.4581284523010254","9.813377380371094"
"3","2.3044389486312866","2.213290214538574","2.4490489959716797","2.4023584127426147","2.2228074073791504","2.712829113006592","1.740964372952779","1.6857492923736572","1.7797163724899292","1.9084572196006775","1.446563482284546","2.6914443969726562","2.3163113594055176","1.529700756072998","3.0792977809906006"
"4","1.96667018532753","1.899329423904419","2.0127193927764893","1.710631638765335","1.6827335357666016","1.759517788887024","1.6670738458633423","1.6587549448013306","1.6742525100708008","1.2241155207157135","1.0137079954147339","1.5216255187988281","1.4572225213050842","1.1674624681472778","1.8239630460739136"
"5","1.8890376091003418","1.7895102500915527","2.0163214206695557","1.388038009405136","1.3680133819580078","1.413196086883545","1.7668646176656086","1.7205355167388916","1.8343298435211182","1.0065277814865112","0.8594499826431274","1.2654510736465454","1.1122040897607803","0.9021159410476685","1.3140270709991455"
"6","1.785555362701416","1.7331442832946777","1.8338336944580078","1.1592058539390564","1.1236393451690674","1.1821837425231934","1.7844887177149455","1.677733063697815","1.8582680225372314","0.8013936132192612","0.7049009799957275","0.932971715927124","0.8600450307130814","0.7379846572875977","0.9628376364707947"
"7","1.7476833760738373","1.7305238246917725","1.7712182998657227","1.0493995249271393","1.0160012245178223","1.068107008934021","1.8798093795776367","1.7635161876678467","1.9513823986053467","0.7124970406293869","0.5820385217666626","0.8869287967681885","0.7900115549564362","0.6428035497665405","0.9195411205291748"
"8","1.7327103316783905","1.7151278257369995","1.7458703517913818","0.8886748105287552","0.8469386100769043","0.9465647339820862","1.8849790493647258","1.6657274961471558","2.0505852699279785","0.6002057865262032","0.490100234746933","0.7642152905464172","0.673931822180748","0.5182551145553589","0.7946708798408508"
"9","1.706805408000946","1.6784906387329102","1.7357412576675415","0.719654381275177","0.6804146766662598","0.7712687849998474","1.8151824076970418","1.650692105293274","1.953700065612793","0.5106581151485443","0.40096867084503174","0.6806126236915588","0.5772324055433273","0.43212586641311646","0.7010769844055176"
"10","1.674457997083664","1.6450986862182617","1.6917994022369385","0.5910493433475494","0.5400508642196655","0.647106409072876","1.7565606435139973","1.5407907962799072","2.031768798828125","0.46209731698036194","0.3920414447784424","0.5815265774726868","0.513800673186779","0.4086754620075226","0.6080676317214966"
"11","1.6322787702083588","1.614935040473938","1.6664069890975952","0.4840864986181259","0.4533562660217285","0.5207008123397827","1.6249436537424724","1.3973021507263184","1.875903844833374","0.4226718693971634","0.368647038936615","0.4935395121574402","0.46419014036655426","0.39782267808914185","0.5281425714492798"
"12","1.6861250400543213","1.652888298034668","1.7299965620040894","0.42245668917894363","0.4048784375190735","0.44688478112220764","1.6210800011952717","1.409515380859375","1.9564990997314453","0.39983322471380234","0.3503470718860626","0.4898935556411743","0.42703355103731155","0.3518899083137512","0.5153960585594177"
"13","1.6016989350318909","1.5812301635742188","1.631614089012146","0.3738076612353325","0.34744060039520264","0.3926111161708832","1.5038036505381267","1.34421968460083","1.702106237411499","0.39073461294174194","0.34368896484375","0.4429524540901184","0.4085013344883919","0.38117897510528564","0.4599418044090271"
"14","1.538180023431778","1.5219943523406982","1.546180009841919","0.33843381702899933","0.3316720724105835","0.3435349464416504","1.3923602104187012","1.2466802597045898","1.5781749486923218","0.35665661096572876","0.32439184188842773","0.3893263339996338","0.3684631735086441","0.33857423067092896","0.4084557294845581"
"15","1.6004160642623901","1.5923223495483398","1.6050585508346558","0.32550806552171707","0.3088752031326294","0.3352395296096802","1.4164037704467773","1.2707351446151733","1.5955805778503418","0.3622332662343979","0.328876793384552","0.41878649592399597","0.3707726374268532","0.3149636387825012","0.4404124617576599"
"16","1.5304071009159088","1.5105054378509521","1.5503041744232178","0.32820578664541245","0.3107006549835205","0.34641844034194946","1.3893298308054607","1.2111120223999023","1.610896110534668","0.35904089361429214","0.3296889066696167","0.4118139147758484","0.36556562036275864","0.31579509377479553","0.43451035022735596"
