"Step","optimizer_name: sgd - train_loss","optimizer_name: sgd - train_loss__MIN","optimizer_name: sgd - train_loss__MAX","optimizer_name: sgdm - train_loss","optimizer_name: sgdm - train_loss__MIN","optimizer_name: sgdm - train_loss__MAX"
"0","17.770576000213623","17.517324447631836","18.049272537231445","17.677677154541016","17.517324447631836","17.871610641479492"
"1","13.639148473739624","13.26393985748291","14.073331832885742","15.049405415852865","14.609941482543945","15.469560623168945"
"2","5.78454053401947","5.365903854370117","6.0270233154296875","9.729865392049154","7.815784454345703","11.065116882324219"
"3","2.310683846473694","2.2336325645446777","2.462322235107422","4.04417101542155","2.8619093894958496","5.194661617279053"
"4","1.9752335250377655","1.9269354343414307","2.01956844329834","2.4581380685170493","2.176314115524292","2.6890265941619873"
"5","1.8971623182296753","1.7903410196304321","2.018648147583008","2.1793520053227744","1.8712517023086548","2.4825439453125"
"6","1.787663847208023","1.7350695133209229","1.8363711833953857","2.0287590821584067","1.934985637664795","2.081496238708496"
"7","1.7477442920207977","1.7282416820526123","1.7699267864227295","1.8891232411066692","1.797943353652954","1.9922754764556885"
"8","1.7340673506259918","1.7163305282592773","1.7500107288360596","1.8597259124120076","1.7576336860656738","1.925052285194397"
"9","1.7068371772766113","1.6797709465026855","1.7356696128845215","1.8276913563410442","1.7205607891082764","1.8936822414398193"
"10","1.6758205592632294","1.6458426713943481","1.6960198879241943","1.7871529658635457","1.7354083061218262","1.839257001876831"
"11","1.6327499449253082","1.6147220134735107","1.666886568069458","1.705377181371053","1.6557068824768066","1.7361363172531128"
"12","1.6877337396144867","1.6531074047088623","1.731947898864746","1.7647222677866619","1.690882921218872","1.826122522354126"
"13","1.602923184633255","1.5844573974609375","1.6308040618896484","1.6917751232783","1.6461677551269531","1.750669240951538"
"14","1.5432992577552795","1.5221542119979858","1.5621448755264282","1.648367206255595","1.5791118144989014","1.6862701177597046"
"15","1.6011782884597778","1.594449758529663","1.6041985750198364","1.6941001812616985","1.6315346956253052","1.7469327449798584"
"16","1.5317235887050629","1.5112199783325195","1.551591396331787","1.6233287652333577","1.582973599433899","1.6459678411483765"
"17","1.455283522605896","1.4278969764709473","1.4849722385406494","1.5457018216451008","1.4581596851348877","1.6218204498291016"
"18","1.489026129245758","1.4816770553588867","1.4968862533569336","1.580966631571452","1.5261006355285645","1.6259894371032715"
"19","1.5197241306304932","1.5118318796157837","1.5334467887878418","1.6248302459716797","1.5771996974945068","1.6726064682006836"
"20","1.4639047384262085","1.4532206058502197","1.474191427230835","1.5575341780980427","1.4877699613571167","1.6055071353912354"
"21","1.4786750078201294","1.4668281078338623","1.4904506206512451","1.5671783288319905","1.5016320943832397","1.6026233434677124"
"22","1.4786835312843323","1.4620616436004639","1.4881665706634521","1.5821518898010254","1.517525315284729","1.6291279792785645"
"23","1.364644855260849","1.3488719463348389","1.3901066780090332","1.457959731419881","1.3877944946289062","1.5346693992614746"
"24","1.4321505427360535","1.4148178100585938","1.4657429456710815","1.5496350526809692","1.4518566131591797","1.612420916557312"
"25","1.4225616455078125","1.4039303064346313","1.431931495666504","1.5208611885706584","1.4676871299743652","1.5512996912002563"
"26","1.3948469758033752","1.3833057880401611","1.419466495513916","1.5005577007929485","1.4229767322540283","1.540021538734436"
"27","1.3659239411354065","1.355264663696289","1.380988597869873","1.4762747685114543","1.4085111618041992","1.5449576377868652"
"28","1.3665878474712372","1.3185794353485107","1.401208758354187","1.4875970681508381","1.3902080059051514","1.5461070537567139"
"29","1.43744495511055","1.4163117408752441","1.4653534889221191","1.561495304107666","1.4776257276535034","1.6075668334960938"
"30","1.3586267530918121","1.3492393493652344","1.3696531057357788","1.4707224766413372","1.3915727138519287","1.5292959213256836"
"31","1.3126673102378845","1.3001580238342285","1.3328546285629272","1.435550053914388","1.387390375137329","1.4724262952804565"
"32","1.2969973683357239","1.2733699083328247","1.3102686405181885","1.4045994281768799","1.3393018245697021","1.4730162620544434"
"33","1.2990183234214783","1.2811973094940186","1.3073904514312744","1.4238877693812053","1.3537858724594116","1.4760844707489014"
"34","1.2763565182685852","1.264231562614441","1.2867555618286133","1.39812966187795","1.312493085861206","1.4692082405090332"
"35","1.3083775341510773","1.2934856414794922","1.321929931640625","1.4443506002426147","1.3668782711029053","1.5158928632736206"
"36","1.247911423444748","1.2175602912902832","1.268960952758789","1.383323073387146","1.2968050241470337","1.4529178142547607"
"37","1.2610374689102173","1.2384076118469238","1.27579665184021","1.4020105202992756","1.331021785736084","1.4653034210205078"
"38","1.2510112822055817","1.2358982563018799","1.2576264142990112","1.3891545136769612","1.3121674060821533","1.4517807960510254"
"39","1.1764772236347198","1.1715245246887207","1.1813116073608398","1.308591604232788","1.2320218086242676","1.3667082786560059"
"40","1.1694101095199585","1.143665075302124","1.1922856569290161","1.301720380783081","1.2006386518478394","1.3817352056503296"
"41","1.1648885309696198","1.1467816829681396","1.1819552183151245","1.3068622748057048","1.216267704963684","1.3785806894302368"
"42","1.2002200186252594","1.180004358291626","1.2219074964523315","1.348209023475647","1.275752305984497","1.4238519668579102"
"43","1.1444956958293915","1.1117844581604004","1.1740596294403076","1.2956774234771729","1.2049736976623535","1.3734498023986816"
"44","1.158057451248169","1.1403141021728516","1.1721374988555908","1.301539659500122","1.2084686756134033","1.3726754188537598"
"45","1.1354853212833405","1.1062641143798828","1.1542118787765503","1.292707125345866","1.2170861959457397","1.349942684173584"
"46","1.1744556427001953","1.1515986919403076","1.1848526000976562","1.3385120232899983","1.2547515630722046","1.406553030014038"
"47","1.1066157221794128","1.082685947418213","1.122790813446045","1.2711247205734253","1.18796706199646","1.3296911716461182"
"48","1.0701556205749512","1.0554656982421875","1.08677077293396","1.227237065633138","1.1568946838378906","1.2947546243667603"
"49","1.1269808411598206","1.124582290649414","1.1307482719421387","1.2994235356648762","1.2056198120117188","1.3713195323944092"
"50","1.1177432537078857","1.103288173675537","1.1328990459442139","1.2957754135131836","1.1955821514129639","1.36053466796875"
"51","1.0177805423736572","0.9996546506881714","1.0364384651184082","1.1873737573623657","1.0887525081634521","1.2600597143173218"
"52","1.050824761390686","1.0374749898910522","1.0666993856430054","1.2241568168004353","1.1463391780853271","1.2742644548416138"
"53","1.0665344893932343","1.0570127964019775","1.0806550979614258","1.2412434021631877","1.1596810817718506","1.2982958555221558"
"54","1.030764400959015","1.0152839422225952","1.050667643547058","1.2114805380503337","1.1135170459747314","1.272812843322754"
"55","0.999326080083847","0.9765743017196655","1.0294883251190186","1.1782559553782146","1.113800048828125","1.2280288934707642"
"56","0.9565194696187973","0.9518240690231323","0.9596209526062012","1.1250742673873901","1.042063593864441","1.1859396696090698"
"57","0.9817029982805252","0.9491639137268066","0.9981232285499573","1.168338457743327","1.0817985534667969","1.234285593032837"
"58","0.9758554846048355","0.954948365688324","0.9929054975509644","1.159229000409444","1.087367296218872","1.2099884748458862"
"59","0.9544781446456909","0.9429948329925537","0.9680328369140625","1.1456450621287029","1.0466989278793335","1.2346389293670654"
"60","0.9777059704065323","0.9633403420448303","1.000176191329956","1.174174427986145","1.0718944072723389","1.2421910762786865"
"61","0.9748230427503586","0.9514656662940979","1.0054378509521484","1.178839087486267","1.0714325904846191","1.2420819997787476"
"62","0.9184097796678543","0.8931583762168884","0.9350881576538086","1.1195944547653198","1.0364409685134888","1.189582109451294"
"63","0.8992176353931427","0.8879017233848572","0.9140308499336243","1.0984158118565877","1.004137396812439","1.1674984693527222"
"64","0.9100280851125717","0.8971813917160034","0.9257304668426514","1.1079842646916707","1.0090888738632202","1.199737310409546"
"65","0.9316016733646393","0.9098182916641235","0.9521188735961914","1.1446361144383748","1.0175557136535645","1.2495571374893188"
"66","0.8799905925989151","0.8568099141120911","0.9027365446090698","1.0921527942021687","0.9647276401519775","1.185570478439331"
"67","0.8509500622749329","0.8173799514770508","0.8654111623764038","1.0614478985468547","0.9582178592681885","1.142568588256836"
"68","0.858540415763855","0.846113920211792","0.8750321865081787","1.0554405053456624","0.9442028999328613","1.1302350759506226"
"69","0.8374167084693909","0.810501754283905","0.8755631446838379","1.056100110212962","0.9249064326286316","1.1666128635406494"
"70","0.8456210941076279","0.8250271081924438","0.8616452813148499","1.0614906350771587","0.939506471157074","1.1602908372879028"
"71","0.8411261588335037","0.8305025696754456","0.860576868057251","1.0574562549591064","0.9644109010696411","1.1307659149169922"
"72","0.8397031724452972","0.8181084394454956","0.8588775992393494","1.0738352338473003","0.9460286498069763","1.1685850620269775"
"73","0.7780780643224716","0.752985954284668","0.789921760559082","0.9864195585250854","0.8834890127182007","1.0707273483276367"
"74","0.806181326508522","0.7961500883102417","0.8142707347869873","1.0273199478785198","0.9211045503616333","1.1121611595153809"
"75","0.7457895874977112","0.7209542989730835","0.7643557190895081","0.9576895236968994","0.8368101119995117","1.0492265224456787"
"76","0.7490752786397934","0.7262440919876099","0.7604085206985474","0.9588546752929688","0.8366755247116089","1.0511837005615234"
"77","0.793580174446106","0.7851967811584473","0.8088662624359131","1.0155211091041565","0.8959241509437561","1.1008855104446411"
"78","0.7910981476306915","0.769483208656311","0.8223778009414673","1.0404994289080303","0.9026250243186951","1.1256173849105835"
"79","0.7534205317497253","0.7297565937042236","0.7943950295448303","0.9786969820658366","0.8585000038146973","1.0462925434112549"
"80","0.7608208060264587","0.7543033957481384","0.7721675634384155","0.9838132659594218","0.860656201839447","1.0860249996185303"
"81","0.7730343788862228","0.7611781358718872","0.7796121835708618","1.004096786181132","0.8840923309326172","1.0941925048828125"
"82","0.7073482424020767","0.6938142776489258","0.7138479351997375","0.9384719133377075","0.8209261894226074","1.0366889238357544"
"83","0.735193133354187","0.706609845161438","0.7659993171691895","0.9766614039738973","0.8398135900497437","1.0701220035552979"
"84","0.6871960014104843","0.6783336400985718","0.6974750757217407","0.9053520361582438","0.7760272026062012","1.0001976490020752"
"85","0.6897894889116287","0.662046492099762","0.722681999206543","0.9161292513211569","0.7752410173416138","1.0076940059661865"
"86","0.6554183214902878","0.6293966770172119","0.6796461343765259","0.870988130569458","0.7567957043647766","0.9396982192993164"
"87","0.6582718342542648","0.6331049203872681","0.6964913606643677","0.8825923403104147","0.7448452115058899","0.9607864618301392"
"88","0.6674214750528336","0.6404558420181274","0.6972158551216125","0.8939319849014282","0.770474910736084","0.973791241645813"
"89","0.6818196326494217","0.6757842302322388","0.6908406615257263","0.905309776465098","0.7903203368186951","0.9983386993408203"
"90","0.7137866616249084","0.6956624984741211","0.7534158229827881","0.9566693305969238","0.8010642528533936","1.0439872741699219"
"91","0.6425328701734543","0.6359351277351379","0.6469578742980957","0.8552505970001221","0.7279852628707886","0.9544313549995422"
"92","0.622425764799118","0.6083028316497803","0.6386317014694214","0.8294618328412374","0.714423656463623","0.9117390513420105"
"93","0.6374438405036926","0.6272187232971191","0.6500977277755737","0.8553243080774943","0.7236683368682861","0.9647976160049438"
"94","0.6193871349096298","0.6080176830291748","0.63947594165802","0.8310232162475586","0.7056825160980225","0.9147425889968872"
"95","0.6523537337779999","0.6238110065460205","0.684872031211853","0.8783027529716492","0.7153565287590027","1.00972580909729"
"96","0.641361728310585","0.6266289353370667","0.6509809494018555","0.8541228771209717","0.7342175245285034","0.946284294128418"
"97","0.601923331618309","0.5838772058486938","0.6126338243484497","0.8134985168774923","0.6984184980392456","0.8968346118927002"
"98","0.6242172718048096","0.6057167053222656","0.6376603841781616","0.8457830746968588","0.7127224802970886","0.9514421820640564"
"99","0.56158147752285","0.5341818332672119","0.5947645902633667","0.7788341641426086","0.6388066411018372","0.8971352577209473"
"100","0.5843120515346527","0.5744973421096802","0.5989376306533813","0.8027815222740173","0.6719660758972168","0.9199584126472473"
"101","0.5772490799427032","0.5479919910430908","0.594344973564148","0.783104677995046","0.6295157670974731","0.8957403898239136"
"102","0.5681792795658112","0.5416874885559082","0.5944370031356812","0.7795901298522949","0.6342070698738098","0.8811668753623962"
"103","0.5561973750591278","0.5302367210388184","0.5666676759719849","0.752346913019816","0.6359803676605225","0.8482550382614136"
"104","0.5767799615859985","0.5588257908821106","0.6109352707862854","0.7877269585927328","0.635811448097229","0.8828011751174927"
"105","0.5554403066635132","0.5534206628799438","0.5597970485687256","0.7552277445793152","0.6375974416732788","0.8520275354385376"
