"Step","optimizer_name: adamw - train_loss","optimizer_name: adamw - train_loss__MIN","optimizer_name: adamw - train_loss__MAX","optimizer_name: nadam - train_loss","optimizer_name: nadam - train_loss__MIN","optimizer_name: nadam - train_loss__MAX","optimizer_name: adam - train_loss","optimizer_name: adam - train_loss__MIN","optimizer_name: adam - train_loss__MAX","optimizer_name: sgdm - train_loss","optimizer_name: sgdm - train_loss__MIN","optimizer_name: sgdm - train_loss__MAX","optimizer_name: sgd - train_loss","optimizer_name: sgd - train_loss__MIN","optimizer_name: sgd - train_loss__MAX"
"0","17.770576000213623","17.517324447631836","18.049272537231445","17.770576000213623","17.517324447631836","18.049272537231445","17.770576000213623","17.517324447631836","18.049272537231445","17.736897786458332","17.517324447631836","18.049272537231445","17.770576000213623","17.517324447631836","18.049272537231445"
"1","3.5652617812156677","3.420285701751709","3.7262439727783203","1.0650607645511627","1.0289026498794556","1.1129124164581299","3.566626727581024","3.4243202209472656","3.727053642272949","13.50783665974935","13.23867416381836","14.00979232788086","13.611019611358643","13.23867416381836","14.00979232788086"
"2","1.128539651632309","1.0978047847747803","1.1417275667190552","0.7338846027851105","0.6938005685806274","0.7633897066116333","1.126272201538086","1.0955942869186401","1.139579176902771","3.107618808746338","2.872898817062378","3.3410444259643555","5.6960227489471436","5.316690921783447","5.924018859863281"
"3","0.8204006105661392","0.7975997924804688","0.8376328945159912","0.40291599184274673","0.3929329216480255","0.411830872297287","0.8203052878379822","0.7970849871635437","0.8368403315544128","1.75238831837972","1.7423436641693115","1.7645561695098877","2.298525631427765","2.2095608711242676","2.4409945011138916"
"4","0.6022607535123825","0.5707824230194092","0.6222524642944336","0.3246186375617981","0.30930259823799133","0.3326380252838135","0.6022818386554718","0.5703716278076172","0.6228514909744263","1.72161066532135","1.670873761177063","1.7830915451049805","1.9685507118701935","1.917035460472107","2.01297664642334"
"5","0.4685213342308998","0.46171414852142334","0.47480905055999756","0.2981231361627579","0.2913062572479248","0.3017776310443878","0.46781545877456665","0.46048837900161743","0.47826313972473145","1.876153786977132","1.779632806777954","2.0016579627990723","1.8919325470924377","1.7888085842132568","2.0154943466186523"
"6","0.41534383594989777","0.3991134762763977","0.42385607957839966","0.27337805181741714","0.27018409967422485","0.27565205097198486","0.4212217479944229","0.39847394824028015","0.45309263467788696","2.0276248852411904","1.833502173423767","2.181568145751953","1.783580720424652","1.730374813079834","1.8336175680160522"
"7","0.40595871955156326","0.387376606464386","0.4236539602279663","0.2685162052512169","0.25720906257629395","0.2818668484687805","0.4030964747071266","0.3865974545478821","0.41594958305358887","2.1574947834014893","1.977393627166748","2.334329605102539","1.7459939420223236","1.7263824939727783","1.7697627544403076"
"8","0.3737041726708412","0.3685566186904907","0.38186728954315186","0.253104068338871","0.24880990386009216","0.2566840946674347","0.3728264570236206","0.36669397354125977","0.37826400995254517","2.2036288579305015","2.119204521179199","2.2670297622680664","1.731783002614975","1.7153725624084473","1.7448766231536865"
"9","0.35485510528087616","0.33900243043899536","0.36954373121261597","0.24103474617004395","0.23437997698783875","0.2521674335002899","0.3542626053094864","0.33901292085647583","0.3660508394241333","2.1482040882110596","2.0589747428894043","2.2158305644989014","1.7049186527729034","1.6783552169799805","1.7315549850463867"
"10","0.3610567972064018","0.3521054983139038","0.3656916320323944","0.2497960738837719","0.242323637008667","0.25501811504364014","0.3612116649746895","0.3524167239665985","0.36754274368286133","2.1320759455362954","2.012852191925049","2.200960874557495","1.6737777888774872","1.6441998481750488","1.6911133527755737"
"11","0.3444194495677948","0.3323177695274353","0.34942060708999634","0.23905031755566597","0.22442597150802612","0.24780945479869843","0.34525301307439804","0.3252947926521301","0.35549408197402954","2.1042328675587973","2.029768943786621","2.236827850341797","1.6307049095630646","1.6141445636749268","1.6647416353225708"
"12","0.3356436491012573","0.32497620582580566","0.3445903956890106","0.23579029366374016","0.2293626070022583","0.24652612209320068","0.3356165438890457","0.3259521424770355","0.340016633272171","2.0826065937678018","1.9709659814834595","2.2983336448669434","1.6858761310577393","1.6523761749267578","1.7319743633270264"
"13","0.3360321968793869","0.31746357679367065","0.36085259914398193","0.2358330897986889","0.221309632062912","0.2511995732784271","0.3353567197918892","0.3184660077095032","0.3590431213378906","1.9998586575190227","1.9104697704315186","2.1586484909057617","1.6007718443870544","1.580622911453247","1.6301448345184326"
"14","0.3108745515346527","0.3053293526172638","0.3178589940071106","0.21775542572140694","0.2129727602005005","0.22028309106826782","0.3109990134835243","0.30379244685173035","0.3187505602836609","1.8266243934631348","1.6020722389221191","2.136157989501953","1.54014390707016","1.5211238861083984","1.5533360242843628"
"15","0.31511785835027695","0.3028807044029236","0.3254295885562897","0.21953559294342995","0.20825275778770447","0.2308184802532196","0.314899280667305","0.30344608426094055","0.32307836413383484","1.927469253540039","1.6742470264434814","2.238881826400757","1.5988180041313171","1.5924690961837769","1.6033090353012085"
"16","0.3170998841524124","0.30626553297042847","0.32755428552627563","0.22308433428406715","0.20964360237121582","0.23900961875915527","0.3174179792404175","0.30737191438674927","0.327949196100235","1.7123770713806152","1.5427029132843018","1.9409537315368652","1.5290937721729279","1.51004958152771","1.5471744537353516"
"17","0.30179572105407715","0.2947660982608795","0.30889856815338135","0.2139793299138546","0.2019324004650116","0.2250978946685791","0.30221467465162277","0.29453587532043457","0.309963583946228","1.6421565612157185","1.4343171119689941","1.8487828969955444","1.452688753604889","1.425548791885376","1.4839483499526978"
"18","0.29784126579761505","0.28433430194854736","0.3059682846069336","0.21247988566756248","0.19942373037338257","0.2186867594718933","0.2981374263763428","0.2839328646659851","0.3064289093017578","1.6227726538976033","1.4876283407211304","1.7625977993011475","1.4867624640464783","1.477525234222412","1.4960275888442993"
"19","0.3029181808233261","0.2935029864311218","0.31564798951148987","0.2138618640601635","0.20590031147003174","0.22748221457004547","0.3028009608387947","0.2940213680267334","0.315787672996521","1.4795790513356526","1.4531445503234863","1.5277397632598877","1.5168680250644684","1.5076370239257812","1.5291922092437744"
"20","0.28586530685424805","0.2792472541332245","0.29495322704315186","0.20043247193098068","0.19471357762813568","0.20427963137626648","0.2860794737935066","0.27979180216789246","0.29568207263946533","1.3566703796386719","1.3117274045944214","1.39475417137146","1.4612973034381866","1.4500763416290283","1.4703569412231445"
"21","0.28038541227579117","0.27740707993507385","0.28366243839263916","0.19718658179044724","0.19349916279315948","0.20392397046089172","0.2806018590927124","0.2765745222568512","0.28433382511138916","1.33086359500885","1.2787470817565918","1.3900775909423828","1.4765000641345978","1.4635471105575562","1.4854658842086792"
"22","0.2858197093009949","0.2783958911895752","0.2990778684616089","0.19796311110258102","0.19056829810142517","0.20704814791679382","0.2861451879143715","0.2767464816570282","0.3006272315979004","1.2879531780878704","1.189847707748413","1.391662836074829","1.4758552312850952","1.4619638919830322","1.4865092039108276"
"23","0.27591442316770554","0.27286458015441895","0.28140097856521606","0.19738952815532684","0.19573816657066345","0.2013777792453766","0.2756505310535431","0.27282458543777466","0.28163427114486694","1.1599555015563965","1.0495392084121704","1.223116159439087","1.3620251715183258","1.3441200256347656","1.3885161876678467"
"24","0.26864349842071533","0.2578977942466736","0.28592321276664734","0.18937547504901886","0.17818860709667206","0.206335186958313","0.2684861645102501","0.2562301754951477","0.28596290946006775","1.1117589871088664","0.9579744338989258","1.1992223262786865","1.429193377494812","1.4111746549606323","1.4595081806182861"
"25","0.27312125265598297","0.26207733154296875","0.28194040060043335","0.1995939537882805","0.18928101658821106","0.20788975059986115","0.2735038250684738","0.2625594437122345","0.2825247347354889","1.0272022883097331","0.8943420648574829","1.127748966217041","1.4198902547359467","1.4026129245758057","1.4285295009613037"
"26","0.2761935219168663","0.2579098045825958","0.28982245922088623","0.19794117286801338","0.18373365700244904","0.20733609795570374","0.2765897363424301","0.25798922777175903","0.29285845160484314","0.9761253595352173","0.8360185623168945","1.0792169570922852","1.391853153705597","1.3801194429397583","1.4140238761901855"
"27","0.2673185095191002","0.2628098130226135","0.2721904218196869","0.19533822685480118","0.1902817338705063","0.200199156999588","0.2676827386021614","0.2647632360458374","0.27048537135124207","0.9514349301656088","0.8665657043457031","0.995047926902771","1.3627984821796417","1.3529760837554932","1.379560947418213"
"28","0.25827694311738014","0.24492628872394562","0.2741802930831909","0.18894433602690697","0.17395606637001038","0.20101843774318695","0.2585444301366806","0.24291092157363892","0.27691978216171265","0.90406866868337","0.7799148559570312","0.9738786220550537","1.363604187965393","1.3164985179901123","1.3963508605957031"
"29","0.25216808915138245","0.2405448853969574","0.26678135991096497","0.1890728697180748","0.17888960242271423","0.20169450342655182","0.2519904300570488","0.24031691253185272","0.26735395193099976","0.86913001537323","0.7456331253051758","0.9502712488174438","1.434058666229248","1.414811134338379","1.4588807821273804"
"30","0.24036596715450287","0.232791006565094","0.24779465794563293","0.1853504739701748","0.17883282899856567","0.1915472149848938","0.24061957746744156","0.23153923451900482","0.24782289564609528","0.7839384277661642","0.6919614672660828","0.8484323024749756","1.3550716042518616","1.345043659210205","1.3672986030578613"
"31","0.24792300164699554","0.23309728503227234","0.2585394084453583","0.19029812514781952","0.17655624449253082","0.20066922903060913","0.24786800891160965","0.23262174427509308","0.2604864835739136","0.7429942687352499","0.6811600923538208","0.7838645577430725","1.3095378875732422","1.2981376647949219","1.3295972347259521"
"32","0.2414517141878605","0.2270979881286621","0.2543691396713257","0.1839297004044056","0.17164696753025055","0.1956947296857834","0.2413029782474041","0.22521740198135376","0.2549365758895874","0.7204272150993347","0.6424074172973633","0.7761788368225098","1.293946236371994","1.2671401500701904","1.3099879026412964"
"33","0.24644964188337326","0.22963115572929382","0.2559046447277069","0.18858371302485466","0.17678433656692505","0.19563478231430054","0.24643676728010178","0.2300896942615509","0.25412672758102417","0.7120030124982198","0.6813485622406006","0.7529375553131104","1.2956171035766602","1.2803153991699219","1.3033839464187622"
"34","0.237429428845644","0.23219385743141174","0.24366934597492218","0.18673589825630188","0.17905555665493011","0.1893787831068039","0.2375541590154171","0.23324096202850342","0.24294106662273407","0.664701779683431","0.6084774732589722","0.7002599239349365","1.273103266954422","1.2605531215667725","1.2854841947555542"
"35","0.23846358433365822","0.22985002398490906","0.24746882915496826","0.18506167083978653","0.1788674294948578","0.19374758005142212","0.23838341981172562","0.22900789976119995","0.24758438766002655","0.6438443660736084","0.6315517425537109","0.665880024433136","1.3044969737529755","1.292711615562439","1.3195204734802246"
"36","0.22655900940299034","0.21595194935798645","0.23660673201084137","0.17952818050980568","0.16831044852733612","0.18895813822746277","0.22697659954428673","0.21518078446388245","0.23603574931621552","0.6049566864967346","0.5772169232368469","0.6306437849998474","1.2445086240768433","1.2172605991363525","1.266730546951294"
