"Step","optimizer_name: nadam - train_loss","optimizer_name: nadam - train_loss__MIN","optimizer_name: nadam - train_loss__MAX","optimizer_name: sgd - train_loss","optimizer_name: sgd - train_loss__MIN","optimizer_name: sgd - train_loss__MAX","optimizer_name: sgdm - train_loss","optimizer_name: sgdm - train_loss__MIN","optimizer_name: sgdm - train_loss__MAX","optimizer_name: adamw - train_loss","optimizer_name: adamw - train_loss__MIN","optimizer_name: adamw - train_loss__MAX","optimizer_name: adam - train_loss","optimizer_name: adam - train_loss__MIN","optimizer_name: adam - train_loss__MAX"
"0","13.7291579246521","13.35804557800293","14.124663352966309","13.7291579246521","13.35804557800293","14.124663352966309","13.7291579246521","13.35804557800293","14.124663352966309","13.597322781880697","13.35804557800293","13.804753303527832","13.7291579246521","13.35804557800293","14.124663352966309"
"1","7.8425997495651245","5.740677356719971","9.40999984741211","8.81602168083191","8.634198188781738","9.023445129394531","8.872324228286743","8.707732200622559","9.066507339477539","6.472036997477214","5.475833892822266","8.302237510681152","9.890152931213379","9.156469345092773","11.730888366699219"
"2","3.075338065624237","2.3308396339416504","4.477726936340332","3.2965779900550842","3.081796646118164","3.5493593215942383","2.059476613998413","1.9938116073608398","2.1649885177612305","1.8447415828704834","1.3450431823730469","2.7968878746032715","5.028566837310791","3.9973816871643066","7.914015293121338"
"3","1.649838775396347","1.2005996704101562","2.6915857791900635","2.255286753177643","2.0283565521240234","2.3847196102142334","1.6703264117240906","1.6368305683135986","1.7284866571426392","1.0821482340494792","1.0402085781097412","1.1652064323425293","2.369194447994232","1.350509524345398","4.81550407409668"
"4","1.1694198846817017","1.0482313632965088","1.3325917720794678","2.0218461751937866","1.9264333248138428","2.134251117706299","1.718243271112442","1.6810286045074463","1.784684658050537","0.8828852574030558","0.809238076210022","0.9873600006103516","1.5765862464904785","1.1314878463745117","2.8596439361572266"
"5","0.963730588555336","0.8587620258331299","1.117816686630249","1.8493716716766357","1.8082869052886963","1.9074727296829224","1.8157717883586884","1.668691635131836","2.0208866596221924","0.6321354707082113","0.5495760440826416","0.745672345161438","1.060522422194481","0.9300134778022766","1.3990111351013184"
"6","0.7914115786552429","0.6578595638275146","0.980184018611908","1.731199473142624","1.6897234916687012","1.7931413650512695","1.9985851645469666","1.8565187454223633","2.1036734580993652","0.5182764232158661","0.46872827410697937","0.5964555740356445","0.8981755673885345","0.7802037000656128","1.1427509784698486"
"7","0.6693815439939499","0.5150402784347534","0.8847801685333252","1.7421956360340118","1.7063604593276978","1.7965106964111328","1.9935382306575775","1.7994623184204102","2.1774802207946777","0.4803267816702525","0.4388146698474884","0.5584427118301392","0.7272008806467056","0.5693219304084778","1.080663800239563"
"8","0.5366623550653458","0.4028511345386505","0.7563410997390747","1.7592284679412842","1.685665488243103","1.8015843629837036","2.0889205038547516","1.9668241739273071","2.232478618621826","0.44101787606875104","0.41242003440856934","0.4851037859916687","0.647615060210228","0.5130488872528076","0.9895656108856201"
"9","0.4275769591331482","0.3470485210418701","0.612591028213501","1.73417267203331","1.679870843887329","1.7759692668914795","2.1333765983581543","1.8857612609863281","2.403425931930542","0.4095348318417867","0.3823385238647461","0.4500356912612915","0.5801931098103523","0.45405447483062744","0.8959895372390747"
