"Step","optimizer_name: sgd - train_loss","optimizer_name: sgd - train_loss__MIN","optimizer_name: sgd - train_loss__MAX","optimizer_name: sgdm - train_loss","optimizer_name: sgdm - train_loss__MIN","optimizer_name: sgdm - train_loss__MAX"
"0","13.7291579246521","13.35804557800293","14.124663352966309","13.7291579246521","13.35804557800293","14.124663352966309"
"1","8.935421705245972","8.699782371520996","9.214288711547852","8.898615837097168","8.743423461914062","9.086433410644531"
"2","3.447436511516571","3.094578266143799","4.016210556030273","3.3533406853675842","3.1048245429992676","3.708232879638672"
"3","2.2791841626167297","2.0927560329437256","2.389469861984253","2.267061412334442","2.052349090576172","2.4076526165008545"
"4","2.0354918837547302","1.9320886135101318","2.1365480422973633","2.031068831682205","1.929656982421875","2.147737741470337"
"5","1.860984355211258","1.8088526725769043","1.9174039363861084","1.8555694222450256","1.8155224323272705","1.9149049520492554"
"6","1.73837149143219","1.6888264417648315","1.7992162704467773","1.7343897223472595","1.6870205402374268","1.8029389381408691"
"7","1.747111976146698","1.7103902101516724","1.7967358827590942","1.7445210814476013","1.7139098644256592","1.7884464263916016"
"8","1.7664279341697693","1.6875181198120117","1.8266459703445435","1.7615635991096497","1.685012936592102","1.8144502639770508"
"9","1.7390565276145935","1.6816608905792236","1.7953417301177979","1.7335003018379211","1.679722547531128","1.777974247932434"
"10","1.6656554639339447","1.6511297225952148","1.6883924007415771","1.66310715675354","1.6467795372009277","1.6908173561096191"
"11","1.6881957650184631","1.652165412902832","1.719954490661621","1.6804577708244324","1.6529943943023682","1.7154570817947388"
"12","1.7211430072784424","1.694797158241272","1.7573355436325073","1.7182143330574036","1.694767951965332","1.754363775253296"
"13","1.6764600574970245","1.6042394638061523","1.7224351167678833","1.675532728433609","1.6009888648986816","1.7275446653366089"
"14","1.5395233631134033","1.5091911554336548","1.5551661252975464","1.536663293838501","1.5088565349578857","1.5524632930755615"
"15","1.6644776165485382","1.6324036121368408","1.6763900518417358","1.6614919304847717","1.6240737438201904","1.6755239963531494"
"16","1.5657856464385986","1.5469434261322021","1.5867841243743896","1.5625230073928833","1.5450564622879028","1.5755141973495483"
"17","1.5063667297363281","1.4888863563537598","1.5218300819396973","1.5037724077701569","1.490601658821106","1.5223424434661865"
"18","1.5485017001628876","1.5273525714874268","1.5679800510406494","1.5448232889175415","1.529207706451416","1.5683083534240723"
"19","1.536484807729721","1.521529197692871","1.549784779548645","1.532084584236145","1.5202933549880981","1.5424290895462036"
"20","1.5128884315490723","1.4994533061981201","1.5191210508346558","1.5109191238880157","1.500258207321167","1.5189106464385986"
"21","1.5924453139305115","1.5709855556488037","1.6022279262542725","1.5896521210670471","1.5614535808563232","1.6014846563339233"
"22","1.5399875044822693","1.4989938735961914","1.570358395576477","1.5361537635326385","1.4967505931854248","1.5571194887161255"
"23","1.4247781038284302","1.4149415493011475","1.4342458248138428","1.421890914440155","1.4131243228912354","1.4353232383728027"
"24","1.4878888428211212","1.4553232192993164","1.515032172203064","1.4851192831993103","1.4593472480773926","1.500728964805603"
"25","1.5003552734851837","1.4879887104034424","1.5125329494476318","1.4953364133834839","1.4888131618499756","1.504495620727539"
"26","1.4784448146820068","1.4693294763565063","1.4883215427398682","1.4771539866924286","1.454528570175171","1.4963783025741577"
"27","1.4588946402072906","1.4367069005966187","1.4775751829147339","1.4561606347560883","1.4346504211425781","1.4791759252548218"
"28","1.4317234456539154","1.4043912887573242","1.4649463891983032","1.4291561543941498","1.408186912536621","1.4529924392700195"
"29","1.5559428334236145","1.5334014892578125","1.581573724746704","1.5526064932346344","1.5341688394546509","1.583121657371521"
"30","1.4579146802425385","1.4208316802978516","1.486129879951477","1.4554110765457153","1.4267243146896362","1.4885270595550537"
"31","1.3922083377838135","1.3706135749816895","1.401322841644287","1.3890015482902527","1.3668586015701294","1.4036234617233276"
"32","1.3940796554088593","1.3842520713806152","1.4122873544692993","1.3917474150657654","1.3856443166732788","1.3977415561676025"
"33","1.4399235844612122","1.4087159633636475","1.4544470310211182","1.4357374608516693","1.4115016460418701","1.4560621976852417"
"34","1.3881533443927765","1.3649675846099854","1.4138379096984863","1.384974092245102","1.360823631286621","1.3990943431854248"
"35","1.4454335570335388","1.4306553602218628","1.4630087614059448","1.4402255713939667","1.4263943433761597","1.46458101272583"
"36","1.3751827478408813","1.3508751392364502","1.402424693107605","1.3728915750980377","1.3473032712936401","1.387404441833496"
"37","1.4010895788669586","1.379096508026123","1.4253039360046387","1.3971118330955505","1.3774176836013794","1.4273889064788818"
"38","1.3754082322120667","1.3285186290740967","1.4085729122161865","1.3720270991325378","1.3246569633483887","1.410935401916504"
"39","1.3019515573978424","1.269675850868225","1.33665132522583","1.2974611520767212","1.263606071472168","1.3392674922943115"
"40","1.3062763512134552","1.2886912822723389","1.3223375082015991","1.3024837374687195","1.2949399948120117","1.3093197345733643"
"41","1.3103673160076141","1.2857425212860107","1.3353843688964844","1.3079699277877808","1.2823100090026855","1.3179645538330078"
"42","1.3373847007751465","1.3190193176269531","1.3541312217712402","1.3345533907413483","1.3214528560638428","1.3560409545898438"
"43","1.285838097333908","1.2620733976364136","1.303920030593872","1.2798899710178375","1.2561373710632324","1.3065078258514404"
"44","1.3073838651180267","1.2836836576461792","1.323699951171875","1.3046163022518158","1.2788231372833252","1.323319911956787"
"45","1.3039149641990662","1.2734549045562744","1.3323274850845337","1.299497663974762","1.282279372215271","1.3100261688232422"
"46","1.3452292084693909","1.3337252140045166","1.3561275005340576","1.3412018418312073","1.3278279304504395","1.3524937629699707"
"47","1.2907084226608276","1.2627830505371094","1.3067485094070435","1.284840613603592","1.2575677633285522","1.3088487386703491"
"48","1.2298870980739594","1.20932137966156","1.2526092529296875","1.225353866815567","1.2121611833572388","1.242002010345459"
"49","1.3099252581596375","1.2788455486297607","1.3317421674728394","1.3052477538585663","1.2871185541152954","1.3337886333465576"
"50","1.3229443728923798","1.3045761585235596","1.3424136638641357","1.3176773190498352","1.3075850009918213","1.3341038227081299"
"51","1.1951341331005096","1.1737384796142578","1.2195160388946533","1.1914352178573608","1.168985366821289","1.2220797538757324"
"52","1.2168172001838684","1.203605055809021","1.2279263734817505","1.2300580441951752","1.1946330070495605","1.2868075370788574"
"53","1.2389618754386902","1.215759038925171","1.2708985805511475","1.2343669533729553","1.2094004154205322","1.2452681064605713"
"54","1.1972034871578217","1.1722301244735718","1.218705415725708","1.191685527563095","1.1804745197296143","1.2141666412353516"
"55","1.1811545193195343","1.1469844579696655","1.1990349292755127","1.176718831062317","1.1578583717346191","1.1938520669937134"
"56","1.1315974593162537","1.1076490879058838","1.1576943397521973","1.127060890197754","1.1127561330795288","1.1603789329528809"
"57","1.1546425819396973","1.130247712135315","1.1805166006088257","1.148330420255661","1.1262328624725342","1.1825357675552368"
"58","1.1688723266124725","1.1342942714691162","1.2032527923583984","1.1641576886177063","1.143186330795288","1.1900193691253662"
"59","1.1236912310123444","1.0978293418884277","1.150277853012085","1.1167377531528473","1.0903825759887695","1.153173804283142"
"60","1.167692095041275","1.1237943172454834","1.1938765048980713","1.1607212126255035","1.1316144466400146","1.1966352462768555"
"61","1.1790618896484375","1.1608386039733887","1.1945741176605225","1.1728896796703339","1.1593194007873535","1.1959576606750488"
"62","1.1174485981464386","1.095630168914795","1.1366685628890991","1.1118161082267761","1.0889793634414673","1.1368637084960938"
"63","1.1049847304821014","1.0706596374511719","1.1311520338058472","1.0979832112789154","1.0812337398529053","1.1133081912994385"
"64","1.0761833190917969","1.0278542041778564","1.1046310663223267","1.0714875161647797","1.0195331573486328","1.108055591583252"
"65","1.111464023590088","1.0621190071105957","1.1419243812561035","1.1041592359542847","1.0696592330932617","1.1452429294586182"
"66","1.1030148267745972","1.0628976821899414","1.1331214904785156","1.0963613092899323","1.0749666690826416","1.137166142463684"
"67","1.0646299719810486","1.0309447050094604","1.1118009090423584","1.0578346252441406","1.0300806760787964","1.0821137428283691"
"68","1.052471548318863","1.0387736558914185","1.0655014514923096","1.0460448265075684","1.0288437604904175","1.0706223249435425"
"70","1.0952569842338562","1.045426607131958","1.15065336227417","1.087557852268219","1.0408861637115479","1.1551389694213867"
"71","1.0116970390081406","0.9603306651115417","1.0632390975952148","1.0040578693151474","0.9708564281463623","1.0251379013061523"
"72","1.0375033020973206","1.0123082399368286","1.0717178583145142","1.0311351418495178","1.0060107707977295","1.0568255186080933"
"73","1.0355983078479767","1.0046391487121582","1.0745384693145752","1.0286199450492859","1.0005583763122559","1.0457326173782349"
"74","0.9889140129089355","0.9508527517318726","1.0185579061508179","0.9816431105136871","0.9636743068695068","1.0224419832229614"
"75","1.0435929000377655","1.0150785446166992","1.0655403137207031","1.0353963077068329","1.0053375959396362","1.06821608543396"
"76","0.9926011115312576","0.9735181331634521","1.006253957748413","0.9847817420959473","0.9603121280670166","1.0067574977874756"
"77","0.9833593517541885","0.9286733865737915","1.0251615047454834","0.9772612452507019","0.9242252111434937","1.028229832649231"
"78","0.9640685766935349","0.9241113662719727","1.0003695487976074","0.9554546177387238","0.9381593465805054","1.0034271478652954"
"79","0.9337373375892639","0.8866215944290161","0.975508987903595","0.9278075695037842","0.9022672176361084","0.9698351621627808"
"80","0.9290524423122406","0.8759121894836426","0.9701150059700012","0.9204868972301483","0.8659093379974365","0.9438945055007935"
"81","0.98410864174366","0.9513015151023865","1.0155432224273682","0.9751255810260773","0.9476194381713867","1.0218172073364258"
"82","0.9882183969020844","0.9580110311508179","1.0325454473495483","0.9787714034318924","0.948879063129425","0.9998219609260559"
"83","0.90364970266819","0.870671808719635","0.937654435634613","0.8962153047323227","0.8607563972473145","0.9181891679763794"
"84","0.8993360251188278","0.8639827966690063","0.9259761571884155","0.8915344178676605","0.8784483075141907","0.9247071743011475"
"85","0.9354894608259201","0.9132837057113647","0.9712271690368652","0.9269034713506699","0.9035501480102539","0.9425122737884521"
"86","0.9283383339643478","0.898007869720459","0.9628774523735046","0.9181699305772781","0.8948450684547424","0.9534138441085815"
"87","0.887571781873703","0.858521044254303","0.9203517436981201","0.8783539235591888","0.8519895076751709","0.9106128215789795"
"88","0.8872951716184616","0.8453626036643982","0.9237110614776611","0.8788924515247345","0.8541793823242188","0.9302254915237427"
"89","0.8554028868675232","0.8217843770980835","0.8971363306045532","0.8451962769031525","0.8286294937133789","0.8717783689498901"
"90","0.8881038427352905","0.8451535701751709","0.952735960483551","0.8786954283714294","0.8489437103271484","0.905186653137207"
"91","0.8883915692567825","0.8310266733169556","0.9490180611610413","0.8775069266557693","0.8201802968978882","0.9178896546363831"
"92","0.8008902221918106","0.7686775922775269","0.8353627920150757","0.791797935962677","0.7602896690368652","0.8152883052825928"
"93","0.8493230938911438","0.8301939964294434","0.887407660484314","0.8390298336744308","0.8216345310211182","0.8533697128295898"
"94","0.8167197555303574","0.783378005027771","0.8622210025787354","0.8074191510677338","0.7832466959953308","0.8320403695106506"
"95","0.8030792623758316","0.7597766518592834","0.8803145289421082","0.792446106672287","0.7526021003723145","0.8305770754814148"
"96","0.7960816323757172","0.7586424350738525","0.8289833068847656","0.7856517732143402","0.7602185010910034","0.8332613706588745"
"97","0.786629930138588","0.7518774271011353","0.8233625888824463","0.7785171717405319","0.7677711248397827","0.8013595342636108"
"98","0.8187171220779419","0.7914872169494629","0.8638976812362671","0.8085287064313889","0.7814132571220398","0.8232635259628296"
"99","0.7602540254592896","0.7334953546524048","0.7991495728492737","0.7515455335378647","0.7253068089485168","0.7720396518707275"
"100","0.7611804008483887","0.7325394153594971","0.7876995801925659","0.751480221748352","0.7265312671661377","0.7924726009368896"
"101","0.7456967979669571","0.7077985405921936","0.7851825952529907","0.7363696247339249","0.7007875442504883","0.7886743545532227"
"102","0.7543223798274994","0.7267045974731445","0.7912147045135498","0.7457919120788574","0.7225408554077148","0.7727546095848083"
"103","0.7264086455106735","0.6877709031105042","0.7740626335144043","0.7155434489250183","0.6794877648353577","0.7549101114273071"
"104","0.7493104636669159","0.7110643982887268","0.7998110055923462","0.7389558106660843","0.7020617723464966","0.7579765915870667"
"105","0.755129262804985","0.7237961292266846","0.7954747676849365","0.7448448836803436","0.7135037183761597","0.8003054857254028"
