"Step","optimizer_name: adamw - train_loss","optimizer_name: adamw - train_loss__MIN","optimizer_name: adamw - train_loss__MAX","optimizer_name: sgdm - train_loss","optimizer_name: sgdm - train_loss__MIN","optimizer_name: sgdm - train_loss__MAX","optimizer_name: adam - train_loss","optimizer_name: adam - train_loss__MIN","optimizer_name: adam - train_loss__MAX","optimizer_name: nadam - train_loss","optimizer_name: nadam - train_loss__MIN","optimizer_name: nadam - train_loss__MAX","optimizer_name: sgd - train_loss","optimizer_name: sgd - train_loss__MIN","optimizer_name: sgd - train_loss__MAX"
"0","13.71696138381958","13.629169464111328","13.804753303527832","13.7291579246521","13.35804557800293","14.124663352966309","13.597322781880697","13.35804557800293","13.804753303527832","13.597322781880697","13.35804557800293","13.804753303527832","13.7291579246521","13.35804557800293","14.124663352966309"
"1","1.549928069114685","1.5395429134368896","1.5603132247924805","8.777815341949463","8.623950958251953","8.926782608032227","1.497114658355713","1.3912774324417114","1.5609147548675537","0.8986256122589111","0.8787251710891724","0.9243105053901672","8.777815341949463","8.623950958251953","8.926782608032227"
"2","0.8644025325775146","0.8538146018981934","0.8749904632568359","1.9966284334659576","1.908811330795288","2.0705513954162598","0.857426126797994","0.8433880805969238","0.8751351833343506","0.4352444112300873","0.4092089533805847","0.46949464082717896","3.2622068524360657","3.0613150596618652","3.484055995941162"
"3","0.5472182333469391","0.5138018131256104","0.5806346535682678","1.6652805507183075","1.630321979522705","1.7071616649627686","0.5447161992390951","0.5167805552482605","0.5805506706237793","0.2967574993769328","0.2707226872444153","0.31063228845596313","2.2456814646720886","2.0199265480041504","2.357778549194336"
"4","0.43859216570854187","0.43278011679649353","0.4444042146205902","1.758596956729889","1.735209584236145","1.7843918800354004","0.44658586382865906","0.43466830253601074","0.45913782715797424","0.28148720661799115","0.27643346786499023","0.2864741086959839","2.0206700563430786","1.928802490234375","2.1334786415100098"
"5","0.3483848124742508","0.3305019736289978","0.3662676513195038","1.9031340181827545","1.8342154026031494","2.004840612411499","0.3613935013612111","0.35082924365997314","0.37148576974868774","0.2427017241716385","0.22718390822410583","0.25333866477012634","1.8476929366588593","1.8096096515655518","1.9141786098480225"
"6","0.3351063132286072","0.31704235076904297","0.3531702756881714","2.177253544330597","2.097104549407959","2.296041488647461","0.32511868079503375","0.30602675676345825","0.3495226204395294","0.23944870630900064","0.22515833377838135","0.2552186846733093","1.7300874590873718","1.6898612976074219","1.7873398065567017"
"7","0.2950606495141983","0.2932572662830353","0.29686403274536133","2.1646775007247925","2.044978618621826","2.2484307289123535","0.29059964418411255","0.2857247591018677","0.2952190637588501","0.21489845216274261","0.21328894793987274","0.21803227066993713","1.737644076347351","1.7056751251220703","1.7897422313690186"
"8","0.3151794373989105","0.30111777782440186","0.3292410969734192","2.2520211338996887","2.0215446949005127","2.546416759490967","0.30501336852709454","0.2872363328933716","0.32949814200401306","0.22933136423428854","0.2156326323747635","0.24574147164821625","1.7580433189868927","1.6849067211151123","1.8019647598266602"
"9","0.30595798790454865","0.3032548129558563","0.30866116285324097","2.2573894262313843","2.067025899887085","2.3901560306549072","0.29386399189631146","0.2746676802635193","0.3053379952907562","0.21957749128341675","0.20546972751617432","0.23105105757713318","1.731008380651474","1.6794581413269043","1.7680761814117432"
"10","0.2843850404024124","0.28316065669059753","0.2856094241142273","2.08747997879982","1.9474812746047974","2.2286524772644043","0.2809286216894786","0.2766801714897156","0.28585419058799744","0.20624355475107828","0.2036777138710022","0.20803669095039368","1.6592166721820831","1.6469424962997437","1.6851040124893188"
