"Step","optimizer_name: sgd - train_loss","optimizer_name: sgd - train_loss__MIN","optimizer_name: sgd - train_loss__MAX","optimizer_name: sgdm - train_loss","optimizer_name: sgdm - train_loss__MIN","optimizer_name: sgdm - train_loss__MAX"
"0","16.375699520111084","16.146774291992188","16.624244689941406","16.45200792948405","16.147354125976562","16.624244689941406"
"1","12.722305297851562","12.39029598236084","12.909926414489746","12.752340316772461","12.461549758911133","12.908992767333984"
"2","6.177212556203206","5.908449172973633","6.312861442565918","6.160100221633911","5.964537620544434","6.546013355255127"
"3","2.539353132247925","2.40554141998291","2.7017524242401123","2.6334396600723267","2.443131446838379","2.8624048233032227"
"4","2.1557523012161255","2.055213689804077","2.2204155921936035","2.1667309602101645","2.0719494819641113","2.2400999069213867"
"5","2.0094658732414246","1.896810531616211","2.153212070465088","2.017577290534973","1.9067987203598022","2.1769237518310547"
"6","1.894503653049469","1.8466789722442627","1.9166512489318848","1.8889057636260986","1.8547134399414062","1.917252779006958"
"7","1.9757347404956818","1.8994746208190918","2.1256606578826904","1.9782145321369171","1.9049607515335083","2.1321821212768555"
"8","1.8825854361057281","1.8229199647903442","1.9363183975219727","1.8836310505867004","1.8284080028533936","1.9283695220947266"
"9","1.848785400390625","1.8189867734909058","1.876802682876587","1.84947469830513","1.8195335865020752","1.8818188905715942"
"10","1.8323062360286713","1.763427495956421","1.8763790130615234","1.825151801109314","1.7685585021972656","1.8817451000213623"
"11","1.8022598922252655","1.740105390548706","1.8710898160934448","1.7939083178838093","1.7399890422821045","1.8630338907241821"
"12","1.8392020165920258","1.8135040998458862","1.8736733198165894","1.8402920365333557","1.8148456811904907","1.8788225650787354"
"13","1.7487083673477173","1.7371879816055298","1.763108730316162","1.7472894191741943","1.735337257385254","1.7557742595672607"
"14","1.692662924528122","1.6414284706115723","1.738339900970459","1.693551242351532","1.6343019008636475","1.7426892518997192"
"15","1.734394907951355","1.7048420906066895","1.775954246520996","1.7597833275794983","1.7076103687286377","1.8359147310256958"
"16","1.6953227818012238","1.6534409523010254","1.7453744411468506","1.6965025961399078","1.6585546731948853","1.7475018501281738"
"17","1.6209945976734161","1.5723440647125244","1.676724910736084","1.637405792872111","1.6053359508514404","1.6685607433319092"
"18","1.6500850121180217","1.6324126720428467","1.6598979234695435","1.6475557088851929","1.6377137899398804","1.657439947128296"
"19","1.661686509847641","1.617323637008667","1.7646722793579102","1.6616973578929901","1.6119482517242432","1.7698352336883545"
"20","1.6509758532047272","1.6212234497070312","1.667136549949646","1.6516351401805878","1.6275359392166138","1.6705844402313232"
"21","1.6876614391803741","1.669836163520813","1.7354093790054321","1.6704372962315877","1.658348798751831","1.680649995803833"
"22","1.6508409976959229","1.588423252105713","1.7132587432861328","1.6514121691385906","1.5923033952713013","1.7038867473602295"
"23","1.5498277246952057","1.5017449855804443","1.6024202108383179","1.550231009721756","1.487582802772522","1.6076092720031738"
"24","1.645495057106018","1.6309528350830078","1.661828875541687","1.639259397983551","1.6269813776016235","1.6679643392562866"
"25","1.6069143414497375","1.5702121257781982","1.638538122177124","1.6076119542121887","1.5759832859039307","1.625986099243164"
"26","1.5862127840518951","1.5095014572143555","1.6319319009780884","1.5875105261802673","1.514601469039917","1.6386396884918213"
"27","1.5912297368049622","1.5441467761993408","1.6348302364349365","1.5925993621349335","1.548840045928955","1.6235837936401367"
"28","1.557123750448227","1.5295931100845337","1.5949251651763916","1.5572900772094727","1.5129519701004028","1.6012184619903564"
"29","1.6278135776519775","1.5858817100524902","1.6564221382141113","1.6324394543965657","1.5920965671539307","1.6635825634002686"
"30","1.5550209283828735","1.5201301574707031","1.5938282012939453","1.5517773628234863","1.5258307456970215","1.581193208694458"
"31","1.5080191493034363","1.4797006845474243","1.5333893299102783","1.5097245872020721","1.486229658126831","1.5282199382781982"
"32","1.5159098505973816","1.4938762187957764","1.5403850078582764","1.512863556543986","1.490919828414917","1.5465455055236816"
"33","1.5340615510940552","1.5034162998199463","1.5715348720550537","1.5415685971577961","1.5100054740905762","1.5785696506500244"
"34","1.502997487783432","1.4632488489151","1.5320723056793213","1.5047582387924194","1.470689296722412","1.5392576456069946"
"35","1.5237018764019012","1.4994032382965088","1.5799992084503174","1.5260257422924042","1.486470103263855","1.5894742012023926"
"36","1.475176175435384","1.4326330423355103","1.4997209310531616","1.4979423880577087","1.4396003484725952","1.5668368339538574"
"37","1.5132526457309723","1.4986493587493896","1.5385185480117798","1.5127871831258137","1.5064164400100708","1.5201895236968994"
"38","1.4690803587436676","1.4566268920898438","1.4879915714263916","1.4712700247764587","1.4645072221755981","1.479345679283142"
"39","1.3880816102027893","1.359344244003296","1.4451627731323242","1.3958374659220378","1.3673551082611084","1.4520063400268555"
"40","1.4129089713096619","1.3697469234466553","1.4296627044677734","1.4154587984085083","1.3768770694732666","1.437917709350586"
"41","1.452109307050705","1.4112627506256104","1.4932359457015991","1.4651807149251301","1.3997623920440674","1.5012755393981934"
"42","1.4126244187355042","1.3714148998260498","1.4615567922592163","1.4153529405593872","1.3794143199920654","1.4692859649658203"
"43","1.417377273241679","1.3930588960647583","1.4351143836975098","1.4244683384895325","1.4013772010803223","1.4433035850524902"
"44","1.3927311301231384","1.3706269264221191","1.4128682613372803","1.3953634202480316","1.378130316734314","1.4208165407180786"
"45","1.3961946666240692","1.319831371307373","1.4901411533355713","1.3283478021621704","1.3283478021621704","1.3283478021621704"
"46","1.4328883290290833","1.395470142364502","1.4677987098693848","1.4360758364200592","1.4044768810272217","1.4770936965942383"
"47","1.3719472885131836","1.3235090970993042","1.4279375076293945","1.3748603463172913","1.3321391344070435","1.413407325744629"
"48","1.3212072551250458","1.2867705821990967","1.3553186655044556","1.3119289080301921","1.2952195405960083","1.3261150121688843"
"49","1.3719940582911174","1.3236985206604004","1.4443491697311401","1.389767736196518","1.333866000175476","1.4378345012664795"
"50","1.418412059545517","1.3392125368118286","1.4639198780059814","1.4227624237537384","1.3489800691604614","1.4739978313446045"
"51","1.2607280611991882","1.2285765409469604","1.2809088230133057","1.2621829112370808","1.2372212409973145","1.283049464225769"
"52","1.3176695505777996","1.2732973098754883","1.3461477756500244","1.3187589645385742","1.283414602279663","1.3553075790405273"
"53","1.3262274265289307","1.2920743227005005","1.360308289527893","1.318539798259735","1.2788667678833008","1.369821548461914"
"54","1.3432218730449677","1.2495282888412476","1.400365948677063","1.338858723640442","1.2598210573196411","1.3857722282409668"
"55","1.3028820753097534","1.2250819206237793","1.33754563331604","1.306419312953949","1.2346760034561157","1.3476717472076416"
"56","1.2471872965494792","1.2140415906906128","1.2767380475997925","1.2312039136886597","1.205464482307434","1.266127347946167"
"57","1.2808309197425842","1.238358736038208","1.3233031034469604","1.2675777077674866","1.227381944656372","1.3321568965911865"
"58","1.278435617685318","1.2398736476898193","1.3059074878692627","1.2827024161815643","1.2509381771087646","1.3150612115859985"
"59","1.2557291388511658","1.2515888214111328","1.2670552730560303","1.2605490684509277","1.2406195402145386","1.2781929969787598"
"60","1.2299972474575043","1.2101969718933105","1.2550301551818848","1.239557107289632","1.223671555519104","1.265763759613037"
"61","1.2425228754679363","1.2075616121292114","1.2646161317825317","1.2612577974796295","1.2179068326950073","1.3073852062225342"
"62","1.227383315563202","1.1700084209442139","1.2658778429031372","1.232379287481308","1.1813290119171143","1.276168704032898"
"63","1.2519119679927826","1.2428920269012451","1.264707326889038","1.2682267427444458","1.2610409259796143","1.2754125595092773"
"64","1.186685562133789","1.150740385055542","1.2276620864868164","1.1832597255706787","1.1602907180786133","1.2122408151626587"
"65","1.2395593523979187","1.2118301391601562","1.2532212734222412","1.244536131620407","1.223354458808899","1.2640222311019897"
"66","1.2494055330753326","1.2221953868865967","1.3044016361236572","1.2549373507499695","1.232720136642456","1.2922613620758057"
"67","1.1750640273094177","1.15889573097229","1.1902179718017578","1.1801045835018158","1.1705989837646484","1.2003462314605713"
"68","1.1887708604335785","1.168351411819458","1.2198126316070557","1.1935131251811981","1.179796576499939","1.2061731815338135"
"69","1.1322879791259766","1.0940865278244019","1.173719882965088","1.1379278302192688","1.0845235586166382","1.1864995956420898"
"70","1.1914880275726318","1.1809492111206055","1.2037458419799805","1.1948369443416595","1.1778810024261475","1.2169139385223389"
"71","1.1969251930713654","1.1366124153137207","1.3045563697814941","1.2031991183757782","1.1494301557540894","1.315624713897705"
"72","1.1993217468261719","1.1821415424346924","1.2253286838531494","1.2046802043914795","1.1822078227996826","1.2375919818878174"
"73","1.1094276010990143","1.0572397708892822","1.1654075384140015","1.11481511592865","1.0693097114562988","1.1523799896240234"
"74","1.1511059602101643","1.1078909635543823","1.1770581007003784","1.1635434329509735","1.120929479598999","1.1890673637390137"
"75","1.1024437248706818","1.018211007118225","1.1591424942016602","1.107552707195282","1.0303094387054443","1.1697299480438232"
"76","1.087010234594345","1.0753200054168701","1.092624545097351","1.092052012681961","1.076969027519226","1.102174997329712"
"77","1.1620737711588542","1.1203008890151978","1.2414112091064453","1.1642602384090424","1.1326019763946533","1.230668067932129"
"78","1.158954679965973","1.1145684719085693","1.2177448272705078","1.1662865281105042","1.1276040077209473","1.2071967124938965"
"79","1.052543580532074","1.0149753093719482","1.071174144744873","1.058376431465149","1.0277169942855835","1.0831804275512695"
"80","1.1130463778972626","1.0749279260635376","1.1549087762832642","1.1183378994464874","1.0877904891967773","1.1673392057418823"
"81","1.1406705379486084","1.0880764722824097","1.1749775409698486","1.1467675864696503","1.1020371913909912","1.174668550491333"
"82","1.1025264263153076","1.0883973836898804","1.1198344230651855","1.078558087348938","1.023421287536621","1.1112487316131592"
"83","1.089316189289093","1.0541311502456665","1.122833013534546","1.0958059132099152","1.0674282312393188","1.1227495670318604"
"84","1.0590151250362396","1.0264828205108643","1.092160701751709","1.0821619828542073","1.0659294128417969","1.104606032371521"
