"Step","optimizer_name: nadam - train_loss","optimizer_name: nadam - train_loss__MIN","optimizer_name: nadam - train_loss__MAX","optimizer_name: sgd - train_loss","optimizer_name: sgd - train_loss__MIN","optimizer_name: sgd - train_loss__MAX","optimizer_name: sgdm - train_loss","optimizer_name: sgdm - train_loss__MIN","optimizer_name: sgdm - train_loss__MAX","optimizer_name: adamw - train_loss","optimizer_name: adamw - train_loss__MIN","optimizer_name: adamw - train_loss__MAX","optimizer_name: adam - train_loss","optimizer_name: adam - train_loss__MIN","optimizer_name: adam - train_loss__MAX"
"0","16.375699520111084","16.146774291992188","16.624244689941406","16.375699520111084","16.146774291992188","16.624244689941406","16.375699520111084","16.146774291992188","16.624244689941406","16.45200792948405","16.147354125976562","16.624244689941406","16.375699520111084","16.146774291992188","16.624244689941406"
"1","15.608687400817871","14.86404037475586","16.075572967529297","12.741127490997314","12.376194953918457","12.879678726196289","13.047915935516357","12.67186164855957","13.443233489990234","15.598656018575033","15.398494720458984","15.948190689086914","15.698675394058228","14.768392562866211","16.061256408691406"
"2","14.996880054473877","14.06082534790039","16.013765335083008","6.11785364151001","5.855175971984863","6.372013092041016","4.201741695404053","3.870144844055176","4.976075172424316","14.619069735209147","14.21996021270752","15.00370979309082","14.657295227050781","13.404919624328613","15.423086166381836"
"3","14.293665409088135","12.957003593444824","15.58883285522461","2.6224623322486877","2.3976573944091797","2.8862671852111816","1.9014090597629547","1.8740192651748657","1.9451818466186523","13.3362455368042","13.07730484008789","13.686894416809082","12.845491170883179","10.05776596069336","14.023959159851074"
"4","13.523840427398682","11.253149032592773","15.141488075256348","2.158384382724762","2.059840440750122","2.2455368041992188","1.911432921886444","1.8305796384811401","1.949913501739502","11.694350560506185","10.497982025146484","12.608031272888184","11.866495609283447","8.425453186035156","13.194158554077148"
"5","12.276487588882446","9.755642890930176","14.739751815795898","2.016136050224304","1.9013686180114746","2.183614730834961","2.1386764645576477","2.0530893802642822","2.2848079204559326","9.804253260294596","9.238619804382324","10.389533042907715","10.694542407989502","7.132474899291992","12.525127410888672"
"6","11.06552767753601","8.46827507019043","13.480987548828125","1.896171361207962","1.8568086624145508","1.9203859567642212","2.477039337158203","2.227004051208496","2.832141876220703","8.35413153966268","7.732089519500732","8.733375549316406","7.932161331176758","3.294651985168457","10.048652648925781"
"7","10.220311403274536","7.165183067321777","13.158578872680664","1.977480709552765","1.9018950462341309","2.1245758533477783","2.873950958251953","2.682422637939453","3.1142876148223877","7.168010075887044","6.5888352394104","7.678276062011719","7.111299514770508","2.573446273803711","9.281793594360352"
"8","9.228459119796753","5.369291305541992","12.581233024597168","1.8832681775093079","1.830138921737671","1.93319833278656","2.7791539430618286","2.4421725273132324","3.1026108264923096","5.538297812143962","3.9793286323547363","6.602872848510742","6.087904334068298","1.9906883239746094","8.373811721801758"
"9","8.012655556201935","3.0787079334259033","12.261619567871094","1.8491444885730743","1.824508786201477","1.8747358322143555","2.799595892429352","2.412200927734375","3.2482094764709473","3.8261919021606445","2.5951507091522217","5.899636268615723","5.2574809193611145","1.646305799484253","6.939174175262451"
"10","7.013169825077057","2.359915256500244","11.623334884643555","1.8325436115264893","1.7701692581176758","1.874574899673462","2.486056089401245","2.1565537452697754","3.012455463409424","2.5541347662607827","2.346553325653076","2.863053798675537","4.3494651317596436","1.491337776184082","7.233077049255371"
"11","5.941506505012512","2.1218295097351074","9.706365585327148","1.802619606256485","1.740084171295166","1.8674079179763794","2.455242693424225","1.8671140670776367","3.0294549465179443","2.118152379989624","1.9358570575714111","2.3939576148986816","3.13484263420105","1.4086408615112305","5.90476131439209"
"12","5.561818867921829","1.9725099802017212","9.264198303222656","1.8397481739521027","1.8143199682235718","1.871698021888733","2.365788012742996","1.8430752754211426","3.0232386589050293","1.9537485440572102","1.7744505405426025","2.1843440532684326","2.3064537942409515","1.4045780897140503","3.0437958240509033"
"13","5.141330808401108","1.767802357673645","8.796128273010254","1.7458592057228088","1.7347729206085205","1.760519027709961","1.9905900061130524","1.6248270273208618","2.3452882766723633","1.6880341370900471","1.5344306230545044","1.8837673664093018","1.9379934072494507","1.1605066061019897","2.5177102088928223"
"14","4.849704623222351","1.648895025253296","8.476194381713867","1.693110704421997","1.6383408308029175","1.7443599700927734","1.8533615469932556","1.5608224868774414","2.175863265991211","1.5793162981669109","1.4671435356140137","1.7577335834503174","1.8260189294815063","1.1077276468276978","2.4801368713378906"
"15","4.494199275970459","1.6213111877441406","7.620460033416748","1.7589270770549774","1.706083059310913","1.8279283046722412","1.7581183314323425","1.5807621479034424","1.947389841079712","1.4826561212539673","1.4036785364151","1.5253052711486816","1.6973071992397308","1.1084684133529663","2.1225857734680176"
"16","3.952203691005707","1.4494109153747559","6.875687599182129","1.695919245481491","1.6597813367843628","1.7462952136993408","1.645892173051834","1.5044355392456055","1.875165343284607","1.4186036984125774","1.3901190757751465","1.4420052766799927","1.522052526473999","1.0175678730010986","1.9215494394302368"
"17","3.734797775745392","1.2798528671264648","6.869089126586914","1.6218376159667969","1.5706812143325806","1.6733932495117188","1.5730934143066406","1.434969425201416","1.7791748046875","1.2834370930989583","1.2500920295715332","1.327890157699585","1.382899671792984","0.9016594886779785","1.7061731815338135"
"18","3.066512554883957","1.3037426471710205","6.013387203216553","1.6515310406684875","1.6402863264083862","1.658207654953003","1.56464022397995","1.4199919700622559","1.7921338081359863","1.2822224696477253","1.23820960521698","1.3326482772827148","1.3522820621728897","0.9049298167228699","1.6393362283706665"
"19","2.809050440788269","1.3606562614440918","5.388795852661133","1.6625640094280243","1.6223490238189697","1.763296365737915","1.5496385395526886","1.4074877500534058","1.6965556144714355","1.2378838459650676","1.1260348558425903","1.3152201175689697","1.3162892758846283","0.9461796283721924","1.5512664318084717"
"20","2.2048778533935547","1.1962366104125977","3.5442004203796387","1.6520877182483673","1.6292064189910889","1.668013095855713","1.4833444356918335","1.312097430229187","1.6760787963867188","1.1434554258982341","1.1345585584640503","1.1572511196136475","1.2815053910017014","0.8169688582420349","1.557235836982727"
"21","1.9745237827301025","1.2488453388214111","2.8761754035949707","1.6889234483242035","1.6692334413528442","1.7336167097091675","1.471737116575241","1.3471025228500366","1.6015698909759521","1.135228196779887","1.052697777748108","1.1816809177398682","1.2691911309957504","0.8661157488822937","1.4902637004852295"
"22","1.8444952964782715","1.1279102563858032","2.6192004680633545","1.664642333984375","1.5898430347442627","1.7104339599609375","1.4186548590660095","1.282827615737915","1.5556269884109497","1.0697771310806274","0.9767889976501465","1.1643669605255127","1.224802851676941","0.7738879919052124","1.4066916704177856"
"23","1.674881249666214","1.032657504081726","2.4343721866607666","1.5510680079460144","1.4986028671264648","1.600769281387329","1.2752124667167664","1.1735353469848633","1.360412359237671","0.9675809939702352","0.8946764469146729","1.0081076622009277","1.0900766402482986","0.7243590950965881","1.3205130100250244"
