"Step","optimizer_name: nadam - train_loss","optimizer_name: nadam - train_loss__MIN","optimizer_name: nadam - train_loss__MAX","optimizer_name: adamw - train_loss","optimizer_name: adamw - train_loss__MIN","optimizer_name: adamw - train_loss__MAX","optimizer_name: adam - train_loss","optimizer_name: adam - train_loss__MIN","optimizer_name: adam - train_loss__MAX","optimizer_name: sgd - train_loss","optimizer_name: sgd - train_loss__MIN","optimizer_name: sgd - train_loss__MAX","optimizer_name: sgdm - train_loss","optimizer_name: sgdm - train_loss__MIN","optimizer_name: sgdm - train_loss__MAX"
"0","61.64544169108073","61.35670471191406","61.8656005859375","61.761850357055664","61.35670471191406","62.11107635498047","61.70048141479492","61.35670471191406","61.8656005859375","61.761850357055664","61.35670471191406","62.11107635498047","61.761850357055664","61.35670471191406","62.11107635498047"
"1","57.56477610270182","57.39453125","57.72058868408203","58.95029354095459","57.727848052978516","59.43230438232422","58.21507740020752","57.59038543701172","59.97297286987305","53.09569549560547","52.726715087890625","53.52830505371094","54.04951000213623","52.64030075073242","57.69568634033203"
"2","54.07509994506836","53.8798942565918","54.23969268798828","54.634907722473145","53.15127944946289","55.614383697509766","53.57577705383301","52.323577880859375","56.618350982666016","42.14381790161133","41.44043731689453","43.052921295166016","37.53461265563965","32.86152648925781","46.82908630371094"
"3","47.85554504394531","47.56817626953125","48.097496032714844","47.821072578430176","46.17234802246094","48.50398254394531","47.408721923828125","45.739261627197266","51.13544464111328","30.184226989746094","29.033367156982422","31.638538360595703","19.241288423538208","13.29532527923584","31.50421714782715"
"4","41.16156260172526","38.6429443359375","42.763328552246094","41.68734836578369","39.19050598144531","42.953025817871094","41.26673126220703","38.90427780151367","46.8779296875","21.424295902252197","20.26861000061035","22.79425048828125","10.60000467300415","7.612480163574219","17.48897933959961"
"5","32.51319885253906","30.123584747314453","34.82062530517578","33.75009775161743","29.5863094329834","36.26983642578125","33.82662010192871","29.551050186157227","42.18930435180664","15.571753978729248","14.585556983947754","16.756410598754883","8.167648553848267","7.356274604797363","9.504437446594238"
"6","24.325466791788738","19.933250427246094","28.45053482055664","28.114145278930664","23.404239654541016","31.161922454833984","27.606749057769775","23.4500789642334","35.95079803466797","13.032686948776245","12.477734565734863","13.894477844238281","8.012288093566895","7.393354892730713","9.24651050567627"
"7","16.738499959309895","12.074758529663086","22.575197219848633","21.240529537200928","16.370208740234375","24.41883659362793","21.62030839920044","17.24754524230957","31.067228317260742","10.793211460113525","10.295198440551758","11.357915878295898","8.186444759368896","7.518923282623291","9.415512084960938"
"8","12.231718063354492","8.329345703125","18.347881317138672","16.92172932624817","12.035553932189941","20.452777862548828","17.129384994506836","12.246173858642578","26.54029083251953","9.175736904144287","8.800692558288574","9.682239532470703","7.8459532260894775","6.934906959533691","8.859134674072266"
"9","8.70503298441569","5.977802276611328","13.630931854248047","12.141913533210754","7.894019603729248","15.454141616821289","13.024771213531494","8.68149185180664","21.442602157592773","8.268436908721924","8.029539108276367","8.635425567626953","7.221773028373718","5.783087730407715","9.24752140045166"
"10","6.874321937561035","5.132250785827637","9.989887237548828","9.266460537910461","5.829465389251709","12.23598861694336","10.17499303817749","6.771744728088379","16.833616256713867","7.9416645765304565","7.641907691955566","8.250564575195312","6.205990552902222","4.428367614746094","9.491040229797363"
"11","5.850866317749023","4.635186195373535","7.967390060424805","7.305068612098694","5.101480484008789","9.082133293151855","8.306178092956543","5.719542503356934","14.027627944946289","6.830455303192139","6.488284111022949","7.118863105773926","4.9789586663246155","3.0851309299468994","9.004257202148438"
"12","4.950701713562012","4.349392414093018","5.911102771759033","6.258992910385132","4.693587303161621","8.002914428710938","6.801904678344727","5.136448860168457","10.26443099975586","6.670678019523621","6.400721073150635","6.82811164855957","4.15292227268219","2.360354423522949","8.442848205566406"
"13","4.286946853001912","3.9254798889160156","4.951205730438232","5.209867238998413","4.458378791809082","6.154132843017578","5.791665315628052","4.899489879608154","8.01714038848877","6.124787330627441","5.874180793762207","6.410700798034668","3.368769109249115","1.7100679874420166","7.483054161071777"
"14","3.9142069021860757","3.6628830432891846","4.333530426025391","4.821848750114441","4.009664535522461","5.3958024978637695","5.157333970069885","4.635370254516602","6.1479105949401855","5.669576048851013","5.588690757751465","5.751888275146484","3.0175383388996124","1.7228089570999146","6.321072578430176"
"15","3.7484118143717446","3.330977439880371","4.290248870849609","4.579481363296509","4.001374244689941","4.790807247161865","4.82882559299469","4.575291633605957","5.448826313018799","5.118096113204956","4.8841753005981445","5.406820774078369","2.48371958732605","1.5517970323562622","5.237945079803467"
"16","3.4063893953959146","3.0707292556762695","3.910679817199707","4.404432654380798","3.8065552711486816","4.641389846801758","4.393225073814392","4.151512145996094","4.848954200744629","4.644440054893494","4.389864921569824","4.765738010406494","2.0706684589385986","1.472703456878662","3.6929008960723877"
"17","3.1063427130381265","2.739497423171997","3.422053337097168","4.138781011104584","3.5005252361297607","4.412043571472168","4.213192939758301","4.105913162231445","4.398862838745117","4.634074926376343","4.368937015533447","4.8096699714660645","1.7560063898563385","1.2321906089782715","2.916861057281494"
"18","2.942845185597738","2.514535903930664","3.366182327270508","4.0306572914123535","3.3835806846618652","4.289974212646484","4.107049226760864","4.003517150878906","4.292550086975098","4.117095232009888","3.96870756149292","4.359574317932129","1.5746471881866455","1.2075260877609253","2.578437328338623"
"19","2.7731188933054605","2.3883259296417236","3.1566920280456543","3.9832862615585327","3.298241138458252","4.257028579711914","4.086662530899048","4.03244686126709","4.219902038574219","3.94853937625885","3.615903854370117","4.205999851226807","1.6444523930549622","1.263978123664856","2.603243589401245"
"20","2.5728880564371743","2.161985397338867","3.0829763412475586","3.8315993547439575","3.0334463119506836","4.251221656799316","3.8204488158226013","3.616133213043213","4.117876052856445","3.963570296764374","3.7556822299957275","4.314948558807373","1.526607632637024","1.247312068939209","1.9049042463302612"
"21","2.386791149775187","2.0741770267486572","2.777637004852295","3.6366413831710815","2.652775764465332","4.125092506408691","3.617893636226654","3.39113187789917","3.9181926250457764","3.6698599457740784","3.4968326091766357","3.7658979892730713","1.434203714132309","1.2287791967391968","1.592800259590149"
