"Step","optimizer_name: nadam - train_loss","optimizer_name: nadam - train_loss__MIN","optimizer_name: nadam - train_loss__MAX","optimizer_name: sgd - train_loss","optimizer_name: sgd - train_loss__MIN","optimizer_name: sgd - train_loss__MAX","optimizer_name: sgdm - train_loss","optimizer_name: sgdm - train_loss__MIN","optimizer_name: sgdm - train_loss__MAX","optimizer_name: adamw - train_loss","optimizer_name: adamw - train_loss__MIN","optimizer_name: adamw - train_loss__MAX","optimizer_name: adam - train_loss","optimizer_name: adam - train_loss__MIN","optimizer_name: adam - train_loss__MAX"
"0","15.872681379318237","15.290562629699707","16.187362670898438","15.872681379318237","15.290562629699707","16.187362670898438","15.76778761545817","15.290562629699707","16.079105377197266","15.872681379318237","15.290562629699707","16.187362670898438","15.872681379318237","15.290562629699707","16.187362670898438"
"1","15.282130241394043","15.169181823730469","15.386825561523438","14.386794328689575","14.240239143371582","14.556373596191406","14.411907513936361","14.32772159576416","14.548267364501953","15.453488826751709","15.24487590789795","15.800346374511719","15.520299196243286","15.491414070129395","15.555641174316406"
"2","14.291642189025879","13.982386589050293","14.842512130737305","11.914167642593384","11.55683708190918","12.250164985656738","10.322710037231445","10.216556549072266","10.43221664428711","14.46433424949646","14.08101749420166","14.926928520202637","14.54629898071289","14.317594528198242","14.802186965942383"
"3","13.995947122573853","13.251501083374023","14.567161560058594","9.284564971923828","8.743692398071289","9.702247619628906","4.27963924407959","3.771912097930908","4.754971981048584","14.278545618057251","13.928129196166992","14.547698020935059","14.297926425933838","13.986759185791016","14.815675735473633"
"4","12.64604139328003","11.585918426513672","14.005094528198242","4.758265018463135","4.365161895751953","5.129795551300049","1.462773362795512","1.3933218717575073","1.5749335289001465","12.88233995437622","12.560763359069824","13.378944396972656","13.000702381134033","12.027650833129883","13.678912162780762"
"5","11.88265347480774","10.815166473388672","13.121485710144043","2.7450351119041443","2.371486186981201","3.167711019515991","1.2048582235972087","1.1666325330734253","1.234731912612915","12.013088464736938","11.731880187988281","12.293726921081543","12.008869409561157","11.544723510742188","12.56028938293457"
"6","10.494814395904541","9.209085464477539","11.80683708190918","2.119361698627472","2.0129857063293457","2.2763915061950684","1.2572500308354695","1.2304091453552246","1.2830651998519897","10.995422840118408","10.512939453125","11.787139892578125","11.010681629180908","10.719239234924316","11.183527946472168"
"7","9.346094846725464","7.300233840942383","11.597681045532227","1.9000315070152283","1.8056762218475342","2.004119634628296","1.5556451082229614","1.3950341939926147","1.7897124290466309","10.494376420974731","10.00198745727539","11.060277938842773","10.446763277053833","10.003047943115234","10.757326126098633"
"8","8.25082790851593","6.120162487030029","11.26749038696289","1.8580692410469055","1.7290719747543335","1.9709802865982056","1.7263320287068684","1.48744535446167","2.0767290592193604","9.016784906387329","8.11384391784668","10.409514427185059","9.223416805267334","7.59963321685791","10.520180702209473"
"9","7.164577484130859","4.8986310958862305","10.378114700317383","1.7328153252601624","1.6956734657287598","1.8239810466766357","1.692840615908305","1.3948585987091064","1.9929312467575073","7.965236306190491","7.240384578704834","9.538686752319336","7.7498356103897095","6.86501932144165","8.39801025390625"
"10","5.955085515975952","3.5431723594665527","9.642434120178223","1.6033905744552612","1.5698832273483276","1.6186000108718872","1.7919998566309612","1.513838529586792","2.2594900131225586","6.869476318359375","6.233780860900879","7.656256198883057","6.88451611995697","5.859445571899414","7.838379859924316"
"11","4.717764377593994","2.416311740875244","8.145307540893555","1.543899416923523","1.4585421085357666","1.7243506908416748","1.7568389574686687","1.528235673904419","1.9336659908294678","5.981267929077148","4.739965438842773","7.023534774780273","5.899589538574219","4.748386383056641","6.854754447937012"
"12","3.9061962962150574","1.94816255569458","7.133540153503418","1.538833886384964","1.500537633895874","1.5653389692306519","1.7095492680867512","1.5145070552825928","2.0253260135650635","5.094746351242065","4.214507579803467","6.186125755310059","5.224319696426392","4.155369281768799","6.15207576751709"
"13","3.050028383731842","1.4474678039550781","5.714308738708496","1.430472195148468","1.4202607870101929","1.4360533952713013","1.5831270217895508","1.3813257217407227","1.904372215270996","4.240924060344696","3.3755571842193604","5.509947299957275","4.225993394851685","3.270150661468506","5.171916961669922"
"14","2.724982976913452","1.1716673374176025","5.795873165130615","1.3683149218559265","1.3239476680755615","1.412217617034912","1.2916232347488403","1.103424310684204","1.4760026931762695","3.7308738231658936","2.6870975494384766","4.58143949508667","3.829768478870392","2.5836799144744873","4.677910327911377"
"15","2.2766861021518707","1.2512022256851196","4.615245819091797","1.4547952711582184","1.4307682514190674","1.4755386114120483","1.265342116355896","1.1155812740325928","1.4886045455932617","3.018133223056793","1.9475746154785156","4.246038913726807","3.1583869755268097","1.808449149131775","3.9056077003479004"
"16","1.9030867516994476","1.1256234645843506","3.7460455894470215","1.3369679152965546","1.2978873252868652","1.3714591264724731","1.150944431622823","1.0723484754562378","1.3063130378723145","2.2456041872501373","1.5783931016921997","3.488879680633545","2.4366388022899628","1.4461138248443604","3.2966561317443848"
"17","1.7594940960407257","1.0251598358154297","3.5248584747314453","1.322344809770584","1.2869136333465576","1.4026987552642822","1.0273914337158203","0.9594041109085083","1.0986651182174683","1.9732106626033783","1.2866413593292236","3.1753783226013184","1.9783456027507782","1.317323923110962","2.6965627670288086"
"18","1.4762626737356186","0.9780387282371521","2.6062254905700684","1.3440899848937988","1.3151791095733643","1.4114940166473389","0.9947738846143087","0.9373434782028198","1.0939435958862305","1.59251669049263","1.267263412475586","2.249394655227661","1.550607681274414","1.1751548051834106","1.8638970851898193"
"19","1.3663115501403809","1.0452959537506104","2.167038917541504","1.3357480466365814","1.2940117120742798","1.3892769813537598","0.936261792977651","0.8879221677780151","0.9737226963043213","1.4340862929821014","1.195450782775879","1.9004305601119995","1.429586499929428","1.2176897525787354","1.6736552715301514"
"20","1.1351309269666672","0.8925902247428894","1.5624372959136963","1.2856382429599762","1.2549586296081543","1.3055741786956787","0.9596843918164571","0.9235852360725403","1.0233980417251587","1.2363787591457367","1.1047567129135132","1.5211167335510254","1.2125025391578674","1.0407483577728271","1.3859591484069824"
"21","1.1442168951034546","0.9017657041549683","1.5694376230239868","1.3728599548339844","1.3044177293777466","1.42569899559021","0.9415269692738851","0.8589864373207092","1.0331034660339355","1.2315840423107147","1.0741353034973145","1.4397757053375244","1.246671587228775","1.0693069696426392","1.5025211572647095"
"22","1.0674577057361603","0.8686199188232422","1.4371678829193115","1.291839450597763","1.2662839889526367","1.3309526443481445","0.8853074709574381","0.8665565252304077","0.9205985069274902","1.1421740055084229","1.0597856044769287","1.2953828573226929","1.1361311376094818","1.0232551097869873","1.2296017408370972"
"23","0.9197643995285034","0.7113681435585022","1.2232904434204102","1.2208398878574371","1.1950994729995728","1.2551652193069458","0.8943760196367899","0.8526296615600586","0.9532580971717834","1.0076442062854767","0.9613814353942871","1.0984830856323242","0.9942616820335388","0.8651683330535889","1.0704240798950195"
"24","0.9192283749580383","0.767318069934845","1.1486701965332031","1.2906498312950134","1.259851336479187","1.3307738304138184","0.8729132612546285","0.8369479775428772","0.9022195339202881","1.0381733924150467","0.9787048101425171","1.1784782409667969","1.0163052082061768","0.9369503259658813","1.0788373947143555"
"25","0.8811041861772537","0.6766424179077148","1.1753277778625488","1.2802239954471588","1.2208287715911865","1.315522313117981","0.8667684396107992","0.8422341346740723","0.8894033432006836","1.0054412484169006","0.9500167369842529","1.1097939014434814","0.9868208020925522","0.8920211791992188","1.0708662271499634"
"26","0.8317916840314865","0.617607593536377","1.1193296909332275","1.265779972076416","1.2521908283233643","1.2943979501724243","0.8341557780901591","0.7790597081184387","0.8644009828567505","0.9742831140756607","0.9188701510429382","1.0682601928710938","0.9551397264003754","0.8626789450645447","1.0361480712890625"
"27","0.748014286160469","0.5714989900588989","1.0119024515151978","1.2071239948272705","1.1861398220062256","1.2274255752563477","0.7617277900377909","0.7142304182052612","0.7954127788543701","0.9100114554166794","0.8556420803070068","1.0539562702178955","0.8877957612276077","0.8447117209434509","0.9356765747070312"
"28","0.7182060703635216","0.4529617726802826","1.0347669124603271","1.2222070395946503","1.1805106401443481","1.2454884052276611","0.774352510770162","0.7344893217086792","0.7990227937698364","0.9077252745628357","0.8652955889701843","0.9914453625679016","0.8854424208402634","0.7951738238334656","0.9622591733932495"
"29","0.7046704813838005","0.4665803015232086","1.003917932510376","1.3000322580337524","1.2551980018615723","1.3270126581192017","0.7201865315437317","0.7053282260894775","0.740540087223053","0.9248978495597839","0.8625326156616211","1.0536116361618042","0.8999629467725754","0.8425893783569336","0.941769003868103"
"30","0.6285875290632248","0.3971584439277649","0.9461703896522522","1.2182040810585022","1.203692078590393","1.2275458574295044","0.7186145583788554","0.6620461940765381","0.7652256488800049","0.8681866228580475","0.7774467468261719","0.9861317873001099","0.8432499170303345","0.7741756439208984","0.9279773235321045"
"31","0.5558231398463249","0.33966997265815735","0.9116896390914917","1.1738328635692596","1.1282297372817993","1.202908992767334","0.6881342530250549","0.6609360575675964","0.7187819480895996","0.7839683890342712","0.719566822052002","0.8940228819847107","0.7683732211589813","0.705112099647522","0.8533170223236084"
"32","0.5367958545684814","0.30333977937698364","0.8857318162918091","1.1508620381355286","1.139819622039795","1.1654448509216309","0.6586302121480306","0.6354552507400513","0.6840604543685913","0.7816548049449921","0.7182621359825134","0.8806020021438599","0.761329859495163","0.6757897138595581","0.839591383934021"
"33","0.5009903758764267","0.2779286205768585","0.8364778757095337","1.2012389600276947","1.1555156707763672","1.2309372425079346","0.652076244354248","0.6491484045982361","0.6556998491287231","0.7662959098815918","0.7223395705223083","0.869734525680542","0.7459419071674347","0.6556239128112793","0.8032059669494629"
"34","0.47829262912273407","0.27053481340408325","0.8321632146835327","1.167651891708374","1.1207563877105713","1.189741849899292","0.6365943749745687","0.616058886051178","0.6547694802284241","0.732943519949913","0.6564933061599731","0.8195165991783142","0.7171179950237274","0.6033980846405029","0.8042711615562439"
"35","0.4489207938313484","0.2558358311653137","0.8202849626541138","1.201867252588272","1.185997724533081","1.2128621339797974","0.610193153222402","0.5802253484725952","0.6413813829421997","0.7143680304288864","0.6363778114318848","0.8246244788169861","0.6915345937013626","0.5711419582366943","0.797396183013916"
"36","0.4128119722008705","0.2544800639152527","0.7279433012008667","1.1356092393398285","1.121721625328064","1.1441128253936768","0.561548908551534","0.5502620339393616","0.5737203359603882","0.6537956744432449","0.5485769510269165","0.784896969795227","0.634603351354599","0.5433481335639954","0.7205427885055542"
"37","0.3878384046256542","0.24673958122730255","0.7020363211631775","1.1613763570785522","1.1298298835754395","1.1849792003631592","0.5585827032725016","0.5495310425758362","0.5682110786437988","0.6318138539791107","0.5507602691650391","0.7857626676559448","0.6140334457159042","0.5181983709335327","0.7075680494308472"
"38","0.3958773910999298","0.25048696994781494","0.6883195638656616","1.155264437198639","1.1180729866027832","1.189462661743164","0.5924113988876343","0.5803381204605103","0.6139565706253052","0.6227335929870605","0.5580204725265503","0.7502350211143494","0.6079752072691917","0.4885399043560028","0.7024807929992676"
"39","0.3330425024032593","0.21540048718452454","0.562691330909729","1.142710417509079","1.1162697076797485","1.1863174438476562","0.5637678305308024","0.5339517593383789","0.5882893204689026","0.5429109483957291","0.4379871189594269","0.7044543027877808","0.5226281806826591","0.42650270462036133","0.6203960180282593"
"40","0.31163136288523674","0.21605199575424194","0.532230019569397","1.0604930520057678","1.043378472328186","1.080500602722168","0.5125027298927307","0.4956790804862976","0.5417163372039795","0.5010872036218643","0.4132709503173828","0.6642352938652039","0.48765386641025543","0.39938923716545105","0.5665982365608215"
"41","0.30045196413993835","0.19862844049930573","0.5259573459625244","1.096345067024231","1.0744518041610718","1.115713119506836","0.5348563194274902","0.502336859703064","0.5683907866477966","0.47620049864053726","0.3843809962272644","0.6313005685806274","0.4616493433713913","0.35274675488471985","0.5696474313735962"
"42","0.291974451392889","0.21225601434707642","0.4809141755104065","1.104176789522171","1.062962293624878","1.1521613597869873","0.5406964619954427","0.528645396232605","0.5625921487808228","0.46870197355747223","0.384147047996521","0.6538345813751221","0.4447048753499985","0.35449865460395813","0.535740852355957"
"43","0.27044445276260376","0.19982145726680756","0.4503213167190552","1.1023225784301758","1.0759162902832031","1.1408798694610596","0.46716299653053284","0.45189833641052246","0.49112585186958313","0.41960459202528","0.34336918592453003","0.590019941329956","0.4013775661587715","0.3123379051685333","0.5003665685653687"
"44","0.27613555639982224","0.20437848567962646","0.42871522903442383","1.1107029020786285","1.08381986618042","1.136767864227295","0.510561873515447","0.48187294602394104","0.5362675786018372","0.420966774225235","0.3455556631088257","0.5911459922790527","0.39518026262521744","0.30425092577934265","0.48108819127082825"
"45","0.25978797674179077","0.20238271355628967","0.3890898525714874","1.0840048789978027","1.0475295782089233","1.1056817770004272","0.5157094399134318","0.47948890924453735","0.5581656694412231","0.38575243949890137","0.300834059715271","0.5835044384002686","0.37081240117549896","0.290032297372818","0.4434344470500946"
