"Step","optimizer_name: adamw - train_loss","optimizer_name: adamw - train_loss__MIN","optimizer_name: adamw - train_loss__MAX","optimizer_name: nadam - train_loss","optimizer_name: nadam - train_loss__MIN","optimizer_name: nadam - train_loss__MAX","optimizer_name: sgd - train_loss","optimizer_name: sgd - train_loss__MIN","optimizer_name: sgd - train_loss__MAX","optimizer_name: sgdm - train_loss","optimizer_name: sgdm - train_loss__MIN","optimizer_name: sgdm - train_loss__MAX","optimizer_name: adam - train_loss","optimizer_name: adam - train_loss__MIN","optimizer_name: adam - train_loss__MAX"
"0","16.375699520111084","16.146774291992188","16.624244689941406","16.375699520111084","16.146774291992188","16.624244689941406","16.375699520111084","16.146774291992188","16.624244689941406","16.375699520111084","16.146774291992188","16.624244689941406","16.375699520111084","16.146774291992188","16.624244689941406"
"1","14.221656560897827","13.176483154296875","15.234901428222656","14.24283504486084","13.14743423461914","15.044767379760742","12.722305297851562","12.39029598236084","12.909926414489746","12.752340316772461","12.461549758911133","12.908992767333984","14.72350025177002","13.298378944396973","15.258289337158203"
"2","11.080891847610474","8.646862030029297","13.472023963928223","12.085756778717041","10.098357200622559","13.564574241638184","6.071117639541626","5.752832889556885","6.312861442565918","6.160100221633911","5.964537620544434","6.546013355255127","12.34315037727356","10.03757381439209","13.447660446166992"
"3","7.952640175819397","6.408010482788086","10.146608352661133","9.863604068756104","7.602214813232422","12.191217422485352","2.6038272976875305","2.40554141998291","2.7972497940063477","2.6334396600723267","2.443131446838379","2.8624048233032227","9.485840678215027","7.214462757110596","11.121888160705566"
"4","5.105615854263306","2.2292346954345703","8.409505844116211","7.453261613845825","4.81929874420166","9.24415111541748","2.1557523012161255","2.055213689804077","2.2204155921936035","2.1614678502082825","2.0719494819641113","2.2400999069213867","7.079168438911438","3.0885872840881348","8.865863800048828"
"5","3.266231507062912","1.5486005544662476","6.57803201675415","5.3444464802742","2.530655860900879","7.997220516204834","2.0094658732414246","1.896810531616211","2.153212070465088","2.017577290534973","1.9067987203598022","2.1769237518310547","5.595453858375549","2.1069517135620117","7.408148288726807"
"6","1.963784247636795","1.3564625978469849","2.9770634174346924","3.935742199420929","1.9430217742919922","6.2897844314575195","1.894503653049469","1.8466789722442627","1.9166512489318848","1.8979198634624481","1.8547134399414062","1.9249621629714966","2.868282437324524","1.5503973960876465","4.413693428039551"
"7","1.7055915296077728","1.239892601966858","2.285033702850342","2.606694459915161","1.8808014392852783","3.7297348976135254","1.9757347404956818","1.8994746208190918","2.1256606578826904","1.9782145321369171","1.9049607515335083","2.1321821212768555","2.0972766876220703","1.603071928024292","2.6171860694885254"
"8","1.4000795185565948","1.0685458183288574","1.8684725761413574","1.9999397695064545","1.5758695602416992","2.5453600883483887","1.8825854361057281","1.8229199647903442","1.9363183975219727","1.8836310505867004","1.8284080028533936","1.9283695220947266","1.7161007523536682","1.3232498168945312","1.9176677465438843"
"9","1.269259750843048","1.0344481468200684","1.5801504850387573","1.7791621685028076","1.453852653503418","2.1288185119628906","1.848785400390625","1.8189867734909058","1.876802682876587","1.84947469830513","1.8195335865020752","1.8818188905715942","1.4920085966587067","1.1466147899627686","1.7996184825897217"
