"Step","optimizer_name: sgd - train_loss","optimizer_name: sgd - train_loss__MIN","optimizer_name: sgd - train_loss__MAX","optimizer_name: nadam - train_loss","optimizer_name: nadam - train_loss__MIN","optimizer_name: nadam - train_loss__MAX","optimizer_name: adamw - train_loss","optimizer_name: adamw - train_loss__MIN","optimizer_name: adamw - train_loss__MAX","optimizer_name: sgdm - train_loss","optimizer_name: sgdm - train_loss__MIN","optimizer_name: sgdm - train_loss__MAX","optimizer_name: adam - train_loss","optimizer_name: adam - train_loss__MIN","optimizer_name: adam - train_loss__MAX"
"0","16.375699520111084","16.146774291992188","16.624244689941406","16.375699520111084","16.146774291992188","16.624244689941406","16.375699520111084","16.146774291992188","16.624244689941406","16.375699520111084","16.146774291992188","16.624244689941406","16.375699520111084","16.146774291992188","16.624244689941406"
"1","12.646172285079956","12.34541130065918","12.812349319458008","1.2038515210151672","1.1647244691848755","1.256567120552063","3.2300065755844116","3.0324127674102783","3.4154930114746094","12.646172285079956","12.34541130065918","12.812349319458008","3.2300145030021667","3.0327205657958984","3.4163100719451904"
"2","5.848819732666016","5.5683393478393555","6.267542839050293","0.8717281520366669","0.8462148904800415","0.894432008266449","1.2522351145744324","1.2165148258209229","1.2710976600646973","3.2757131457328796","3.1126582622528076","3.6575052738189697","1.252074420452118","1.21648371219635","1.2703393697738647"
"3","2.5591902136802673","2.380744457244873","2.7533445358276367","0.5725739747285843","0.5089658498764038","0.6187080144882202","1.0147721469402313","0.9534660577774048","1.0986088514328003","1.8786295652389526","1.8529553413391113","1.9210209846496582","1.0148598849773407","0.9579620957374573","1.0983293056488037"
"4","2.135585129261017","2.050577163696289","2.2069435119628906","0.4823366105556488","0.43500274419784546","0.5159794092178345","0.8560497462749481","0.8128519058227539","0.8840168714523315","1.9495421350002289","1.8900938034057617","1.9963693618774414","0.8576479256153107","0.8089532256126404","0.8866697549819946"
"5","2.0022125840187073","1.8962011337280273","2.1507198810577393","0.42621002346277237","0.3843187391757965","0.4621351361274719","0.7320872247219086","0.6827673316001892","0.8062546849250793","2.249971568584442","2.215400218963623","2.32721209526062","0.736590176820755","0.6908025741577148","0.8030209541320801"
"6","1.888459026813507","1.844733476638794","1.9163761138916016","0.4321948140859604","0.4015200734138489","0.44551730155944824","0.683673769235611","0.6404390335083008","0.7104848623275757","2.62795352935791","2.5417909622192383","2.7104201316833496","0.7007105946540833","0.6408265829086304","0.7481508255004883"
"7","1.9697633683681488","1.8980143070220947","2.1224122047424316","0.4741518720984459","0.42877817153930664","0.5499087572097778","0.70705746114254","0.6656602621078491","0.7911610007286072","3.0839890241622925","2.9504401683807373","3.1865384578704834","0.7097128480672836","0.6707435846328735","0.7866538166999817"
"8","1.8774747252464294","1.819481611251831","1.9232804775238037","0.4040776863694191","0.3870581388473511","0.4311300814151764","0.6043609082698822","0.5866413116455078","0.644253134727478","2.9082517623901367","2.7940239906311035","2.9668641090393066","0.6077392995357513","0.5940040946006775","0.6458739042282104"
"9","1.8435424864292145","1.8145426511764526","1.8737655878067017","0.39703942090272903","0.3814029097557068","0.4182337820529938","0.5751677751541138","0.5464664101600647","0.6043705940246582","2.7236052751541138","2.492107391357422","2.940168857574463","0.5769188553094864","0.54564368724823","0.6042885780334473"
"10","1.826924353837967","1.7600438594818115","1.8732078075408936","0.3722149357199669","0.36003467440605164","0.3954913020133972","0.532194659113884","0.5087839365005493","0.5598475933074951","2.4829335808753967","2.3398079872131348","2.6247034072875977","0.5337327867746353","0.5089079141616821","0.5589401125907898"
"11","1.7971764206886292","1.7390981912612915","1.8575466871261597","0.3867355212569237","0.3770368695259094","0.40923574566841125","0.5351796299219131","0.5216943025588989","0.5626035928726196","2.5453474521636963","2.2975053787231445","2.7595672607421875","0.5369955748319626","0.521706223487854","0.5630494952201843"
"12","1.8343161046504974","1.810950756072998","1.8698030710220337","0.405010886490345","0.3835592269897461","0.4258906841278076","0.5451704114675522","0.5207619667053223","0.5597348809242249","2.4210466146469116","2.224928379058838","2.5982861518859863","0.5487467646598816","0.5232728719711304","0.5681771039962769"
"13","1.7402226626873016","1.7333920001983643","1.7510873079299927","0.3611132279038429","0.33974623680114746","0.39068612456321716","0.48637887090444565","0.45896589756011963","0.5110931396484375","2.061771035194397","1.9408049583435059","2.1429498195648193","0.4898194298148155","0.46299201250076294","0.5111794471740723"
"14","1.687755435705185","1.6300805807113647","1.7341588735580444","0.3890233561396599","0.35008060932159424","0.4235157370567322","0.5103691145777702","0.46612444519996643","0.5532053709030151","1.8708547949790955","1.7907766103744507","1.9566128253936768","0.5132500529289246","0.46411556005477905","0.5663397908210754"
"15","1.7530897855758667","1.704453468322754","1.8259276151657104","0.3447408750653267","0.30230259895324707","0.38199883699417114","0.46446190774440765","0.41468432545661926","0.5053495168685913","1.8404569029808044","1.6541149616241455","2.0480799674987793","0.4661162495613098","0.41525718569755554","0.5044248104095459"
"16","1.6903634667396545","1.6496975421905518","1.7445132732391357","0.37430382519960403","0.34988224506378174","0.4255576729774475","0.4916756972670555","0.46310490369796753","0.5516433715820312","1.7251964807510376","1.612621784210205","1.8368380069732666","0.4935906454920769","0.462801069021225","0.5512828826904297"
"17","1.6157509684562683","1.5689867734909058","1.6627581119537354","0.34502260386943817","0.32383695244789124","0.3631367087364197","0.4562520533800125","0.43277397751808167","0.47383642196655273","1.6585529744625092","1.5759260654449463","1.7516863346099854","0.45671626180410385","0.4328358769416809","0.4737917482852936"
"18","1.645652711391449","1.6288299560546875","1.6566416025161743","0.3572083041071892","0.32908153533935547","0.3979988992214203","0.46156687289476395","0.43024715781211853","0.5108072757720947","1.6442016959190369","1.5588834285736084","1.7340673208236694","0.46260710805654526","0.4313153624534607","0.5106491446495056"
"19","1.656775176525116","1.6136038303375244","1.760915994644165","0.34905750304460526","0.3220270276069641","0.39587730169296265","0.45725785940885544","0.43129444122314453","0.5044573545455933","1.6093567311763763","1.5147455930709839","1.731773853302002","0.45759086310863495","0.43373551964759827","0.505606472492218"
"20","1.6461366713047028","1.6185458898544312","1.6663634777069092","0.3629709556698799","0.33116137981414795","0.39275601506233215","0.4724668264389038","0.4334285259246826","0.5049993991851807","1.5486761629581451","1.4945459365844727","1.6220943927764893","0.47292985022068024","0.4334948658943176","0.5050989389419556"
"21","1.6828364133834839","1.6595933437347412","1.7316622734069824","0.3605407848954201","0.3373783230781555","0.3866361677646637","0.46339546889066696","0.435425728559494","0.48910969495773315","1.5073896050453186","1.4234683513641357","1.5981614589691162","0.4628012180328369","0.43374866247177124","0.48859870433807373"
"22","1.6580156981945038","1.587510108947754","1.7008140087127686","0.35651078075170517","0.32158082723617554","0.3804517686367035","0.46084432303905487","0.41622593998908997","0.49616214632987976","1.4435149133205414","1.2981669902801514","1.513967514038086","0.46127188950777054","0.41551318764686584","0.497195839881897"
"23","1.5444838404655457","1.488435983657837","1.5986415147781372","0.3325515389442444","0.30584776401519775","0.3619101047515869","0.42982881516218185","0.39824119210243225","0.46278220415115356","1.3127246797084808","1.2361916303634644","1.36257004737854","0.42901135981082916","0.3968467712402344","0.4630850851535797"
"24","1.6325428187847137","1.6158232688903809","1.6578826904296875","0.3322388529777527","0.3104938566684723","0.35904842615127563","0.42830270528793335","0.40227583050727844","0.4542922079563141","1.303493082523346","1.1751441955566406","1.3933205604553223","0.42882587015628815","0.4015716314315796","0.4548332095146179"
"25","1.6014058887958527","1.566696047782898","1.6253535747528076","0.3422841802239418","0.3175560235977173","0.3632925748825073","0.4356236979365349","0.4069059491157532","0.46345722675323486","1.272910326719284","1.1667559146881104","1.359039068222046","0.4359104707837105","0.4075815677642822","0.46528226137161255"
"26","1.5805869400501251","1.508488416671753","1.627884864807129","0.3374505564570427","0.2821231484413147","0.3709321916103363","0.43039144575595856","0.3722470700740814","0.46383821964263916","1.1905573904514313","1.0361477136611938","1.2760391235351562","0.43033017218112946","0.37173885107040405","0.46363988518714905"
