"Step","optimizer_name: nadam - train_loss","optimizer_name: nadam - train_loss__MIN","optimizer_name: nadam - train_loss__MAX","optimizer_name: adamw - train_loss","optimizer_name: adamw - train_loss__MIN","optimizer_name: adamw - train_loss__MAX","optimizer_name: adam - train_loss","optimizer_name: adam - train_loss__MIN","optimizer_name: adam - train_loss__MAX","optimizer_name: sgdm - train_loss","optimizer_name: sgdm - train_loss__MIN","optimizer_name: sgdm - train_loss__MAX","optimizer_name: sgd - train_loss","optimizer_name: sgd - train_loss__MIN","optimizer_name: sgd - train_loss__MAX"
"0","15.872681379318237","15.290562629699707","16.187362670898438","15.872681379318237","15.290562629699707","16.187362670898438","15.872681379318237","15.290562629699707","16.187362670898438","15.872681379318237","15.290562629699707","16.187362670898438","15.872681379318237","15.290562629699707","16.187362670898438"
"1","2.3652945160865784","2.0387589931488037","2.6366188526153564","8.144023418426514","7.771243095397949","8.52829360961914","8.144336700439453","7.77100944519043","8.529346466064453","14.35698127746582","14.224592208862305","14.517091751098633","14.35698127746582","14.224592208862305","14.517091751098633"
"2","0.8331922441720963","0.8297924995422363","0.8382212519645691","2.208825469017029","2.0839953422546387","2.4162135124206543","2.193980395793915","2.0697059631347656","2.398089647293091","9.935876846313477","9.677971839904785","10.432710647583008","11.829981803894043","11.549110412597656","12.139265060424805"
"3","0.5283595621585846","0.49957168102264404","0.5462684035301208","1.0309840440750122","1.0038456916809082","1.0470750331878662","1.0312649011611938","1.004317283630371","1.0471019744873047","3.4724865555763245","2.894498825073242","3.8400230407714844","9.10752272605896","8.52330207824707","9.569731712341309"
"4","0.28286677598953247","0.25340503454208374","0.3032601773738861","0.8290510922670364","0.8066213726997375","0.864359438419342","0.8316742181777954","0.8090287446975708","0.8664116263389587","1.3794645071029663","1.318488359451294","1.4524846076965332","4.53900933265686","4.3253583908081055","4.8712158203125"
"5","0.20336253568530083","0.1946674883365631","0.21555545926094055","0.6617428660392761","0.6441598534584045","0.6922270059585571","0.6614625155925751","0.644189715385437","0.6919035911560059","1.2044095993041992","1.1690386533737183","1.2470661401748657","2.665449857711792","2.2886202335357666","3.032595634460449"
"6","0.19420882686972618","0.18710094690322876","0.2031630575656891","0.5836706310510635","0.5608116984367371","0.6215759515762329","0.5833127796649933","0.5603027939796448","0.621344804763794","1.3216681480407715","1.2201393842697144","1.4097211360931396","2.081445127725601","1.9671341180801392","2.2235445976257324"
"7","0.1952933482825756","0.17902123928070068","0.22025546431541443","0.471219077706337","0.44542044401168823","0.5128380060195923","0.4705309271812439","0.44488227367401123","0.5124080181121826","1.6957019865512848","1.5573530197143555","1.9240385293960571","1.8762096166610718","1.8029109239578247","1.9700757265090942"
"8","0.16950307041406631","0.15452270209789276","0.18348601460456848","0.38147011399269104","0.33939191699028015","0.40684571862220764","0.38140446692705154","0.33922624588012695","0.40633299946784973","1.9455982446670532","1.7471187114715576","2.2352638244628906","1.8394536674022675","1.7061527967453003","1.9481253623962402"
"9","0.15719148889183998","0.13611146807670593","0.16688455641269684","0.3386899530887604","0.288313627243042","0.3655771017074585","0.34119216352701187","0.2985803484916687","0.3655078113079071","2.0897215008735657","1.7319347858428955","2.3920717239379883","1.7176783978939056","1.6753685474395752","1.8032729625701904"
"10","0.18151535838842392","0.15280574560165405","0.20594708621501923","0.33988191932439804","0.2756817042827606","0.388034850358963","0.34118009358644485","0.2756909430027008","0.38777992129325867","2.218600571155548","1.907273292541504","2.5070109367370605","1.593502163887024","1.5569994449615479","1.6087177991867065"
"11","0.17309262603521347","0.1664503514766693","0.17744044959545135","0.3003445267677307","0.28296908736228943","0.32340535521507263","0.30362777411937714","0.2827874422073364","0.336887001991272","2.067758798599243","1.8616952896118164","2.4660110473632812","1.5349161326885223","1.4578356742858887","1.706787109375"
"12","0.1689220517873764","0.16303816437721252","0.17361590266227722","0.27699561417102814","0.26930803060531616","0.29660356044769287","0.27870701998472214","0.26928460597991943","0.30370718240737915","2.1826092302799225","1.982822299003601","2.333298683166504","1.5306611061096191","1.500692367553711","1.5543212890625"
"13","0.1648148037493229","0.15850381553173065","0.17668864130973816","0.2566935382783413","0.24906258285045624","0.26785463094711304","0.2573629692196846","0.24902081489562988","0.2676967680454254","1.9856097996234894","1.7955595254898071","2.0906410217285156","1.4230235815048218","1.4100675582885742","1.4314930438995361"
"14","0.15082433074712753","0.1407182514667511","0.1604083627462387","0.2276827171444893","0.21428482234477997","0.24410155415534973","0.22812935337424278","0.21425208449363708","0.24626484513282776","1.6355100274085999","1.48823082447052","1.7701618671417236","1.36114501953125","1.3186814785003662","1.4000627994537354"
"15","0.14064671471714973","0.1374509185552597","0.1440427601337433","0.21342157945036888","0.20974358916282654","0.21592849493026733","0.2137376181781292","0.20953530073165894","0.21580985188484192","1.4776677191257477","1.1872056722640991","1.6376763582229614","1.4486032724380493","1.4217318296432495","1.4753468036651611"
"16","0.1528335139155388","0.13529112935066223","0.16543570160865784","0.2307739593088627","0.20860542356967926","0.24564975500106812","0.23102809861302376","0.21000151336193085","0.2455521672964096","1.318258821964264","1.015923023223877","1.603381872177124","1.3319549858570099","1.297653317451477","1.364168405532837"
"17","0.14367133378982544","0.13315953314304352","0.15309607982635498","0.21810375154018402","0.2016271948814392","0.2366752326488495","0.21856678649783134","0.20157106220722198","0.23877722024917603","1.2269276082515717","0.859605073928833","1.5179731845855713","1.3162482678890228","1.2864280939102173","1.392388939857483"
"18","0.14526911824941635","0.13283371925354004","0.15703585743904114","0.21694809943437576","0.20397748053073883","0.22960348427295685","0.21730529516935349","0.2057654708623886","0.22958198189735413","1.0982063114643097","0.9061568975448608","1.2574501037597656","1.3384051620960236","1.307929515838623","1.4010590314865112"
"19","0.1449894867837429","0.13413265347480774","0.15954551100730896","0.21771865710616112","0.20290565490722656","0.22941015660762787","0.21788759157061577","0.20280227065086365","0.22929280996322632","1.0147102773189545","0.9354958534240723","1.2062327861785889","1.330437809228897","1.2879997491836548","1.3805679082870483"
"20","0.14952628314495087","0.1406228244304657","0.15970143675804138","0.22236518189311028","0.20908255875110626","0.2377893030643463","0.22243043780326843","0.20898184180259705","0.23775625228881836","1.0059198290109634","0.9814136028289795","1.039386510848999","1.2805396020412445","1.2492051124572754","1.2958980798721313"
"21","0.14032525941729546","0.11626037955284119","0.16466224193572998","0.2072480022907257","0.17829957604408264","0.23468820750713348","0.2073022499680519","0.1787518858909607","0.23460586369037628","0.9694930762052536","0.8915895223617554","1.0387978553771973","1.366951584815979","1.2993910312652588","1.4148879051208496"
"22","0.14056606031954288","0.12415727227926254","0.1519385427236557","0.20879268273711205","0.189971923828125","0.2339443415403366","0.20872678607702255","0.1897856891155243","0.23408833146095276","0.9352648556232452","0.8786265254020691","0.9958052039146423","1.287006914615631","1.2661852836608887","1.3229753971099854"
"23","0.1416444554924965","0.12712562084197998","0.16036441922187805","0.20835041999816895","0.18978041410446167","0.22772414982318878","0.20817556977272034","0.1896868497133255","0.22759559750556946","0.9410576224327087","0.8706068396568298","0.9825416207313538","1.216355323791504","1.1891305446624756","1.2486696243286133"
"24","0.13884127885103226","0.12349028885364532","0.15062400698661804","0.20459738746285439","0.19155451655387878","0.2131941020488739","0.20435310527682304","0.19084566831588745","0.2131222039461136","0.9337643980979919","0.9226171970367432","0.9476086497306824","1.2854796051979065","1.2541167736053467","1.3239665031433105"
"25","0.13626213744282722","0.12972748279571533","0.14356547594070435","0.19846318662166595","0.18768805265426636","0.216558039188385","0.19818582758307457","0.18758419156074524","0.21566496789455414","0.9235913306474686","0.8767621517181396","0.9929311871528625","1.27511066198349","1.2205114364624023","1.3076804876327515"
"26","0.1328740417957306","0.13219305872917175","0.13337403535842896","0.19269761070609093","0.18853162229061127","0.19811519980430603","0.19249020144343376","0.18847355246543884","0.19747793674468994","0.8838030248880386","0.8690528869628906","0.8970193266868591","1.2608752846717834","1.2462942600250244","1.2885167598724365"
"27","0.12343651428818703","0.10056054592132568","0.13688886165618896","0.18150365725159645","0.15219205617904663","0.206158846616745","0.18142395839095116","0.15215755999088287","0.20609813928604126","0.8261707574129105","0.7518845796585083","0.8871344327926636","1.2025589346885681","1.1797606945037842","1.2212120294570923"
"28","0.1271097008138895","0.11080056428909302","0.15130016207695007","0.18205691128969193","0.1626242697238922","0.20879970490932465","0.1820889636874199","0.16252592206001282","0.2090756595134735","0.8310930579900742","0.7636809349060059","0.8893933892250061","1.2171984314918518","1.1801121234893799","1.2404181957244873"
"29","0.1140802651643753","0.1032596006989479","0.12144465744495392","0.16229532286524773","0.15333192050457","0.1700970083475113","0.16227460280060768","0.15327590703964233","0.1701313555240631","0.7674320340156555","0.732819139957428","0.7940608263015747","1.294491469860077","1.248100757598877","1.3200864791870117"
