"Step","optimizer_name: nadam - train_loss","optimizer_name: nadam - train_loss__MIN","optimizer_name: nadam - train_loss__MAX","optimizer_name: adamw - train_loss","optimizer_name: adamw - train_loss__MIN","optimizer_name: adamw - train_loss__MAX","optimizer_name: sgd - train_loss","optimizer_name: sgd - train_loss__MIN","optimizer_name: sgd - train_loss__MAX","optimizer_name: sgdm - train_loss","optimizer_name: sgdm - train_loss__MIN","optimizer_name: sgdm - train_loss__MAX","optimizer_name: adam - train_loss","optimizer_name: adam - train_loss__MIN","optimizer_name: adam - train_loss__MAX"
"0","55.84846591949463","55.45897674560547","56.348514556884766","55.84846591949463","55.45897674560547","56.348514556884766","55.84846591949463","55.45897674560547","56.348514556884766","55.84846591949463","55.45897674560547","56.348514556884766","55.84846591949463","55.45897674560547","56.348514556884766"
"1","53.05060386657715","51.58869934082031","54.149864196777344","52.812049865722656","52.497310638427734","53.216800689697266","52.18492126464844","49.16331100463867","55.20308303833008","55.86018466949463","55.39714813232422","56.18893814086914","53.46611976623535","53.04753112792969","53.88299560546875"
"2","48.76792240142822","47.05389404296875","51.951263427734375","47.01635551452637","45.62794494628906","48.39509582519531","47.27263832092285","39.759666442871094","54.53949737548828","55.02859687805176","53.96393585205078","55.71155548095703","48.318552017211914","47.81208801269531","49.43128204345703"
"3","39.90428447723389","35.72509765625","48.520591735839844","36.69151020050049","35.395904541015625","37.779998779296875","41.27881574630737","29.502443313598633","51.858123779296875","53.897743225097656","53.58741760253906","54.627891540527344","38.5783748626709","36.985496520996094","40.66748046875"
"4","31.35381841659546","23.98714828491211","44.35545349121094","27.166726112365723","26.132381439208984","28.343841552734375","36.71906566619873","21.79374885559082","51.43684387207031","53.27574825286865","52.24714279174805","54.02961730957031","29.308429718017578","27.653743743896484","32.525691986083984"
"5","21.15402126312256","12.558557510375977","37.96296691894531","18.070091247558594","17.497703552246094","18.623046875","32.405704975128174","16.133121490478516","49.52845001220703","52.19572830200195","50.775028228759766","52.98970413208008","21.07864236831665","17.359176635742188","27.593046188354492"
"6","14.62589979171753","6.572355270385742","31.42421531677246","11.120008707046509","10.405950546264648","12.32323169708252","30.274446487426758","13.457315444946289","48.325069427490234","51.50451946258545","49.703399658203125","52.70985794067383","13.393291234970093","10.145613670349121","18.11687469482422"
"7","11.06416118144989","5.32241153717041","24.961902618408203","6.970286130905151","6.242094039916992","7.853935718536377","28.525402307510376","10.959505081176758","48.0997200012207","51.80251216888428","49.820068359375","53.7614631652832","8.359300374984741","6.268584728240967","12.045480728149414"
"8","7.929297685623169","4.936709403991699","15.696252822875977","5.615944743156433","5.381111145019531","5.9630513191223145","26.649865865707397","9.30561637878418","45.38982391357422","50.33880138397217","48.060367584228516","51.983421325683594","6.05216121673584","5.425358295440674","7.542025566101074"
"9","5.916854023933411","4.622312545776367","9.111689567565918","5.2533228397369385","5.107723236083984","5.33851432800293","25.090110540390015","8.600845336914062","45.020477294921875","49.773552894592285","45.519203186035156","51.22853088378906","5.393301486968994","5.044363021850586","5.799797058105469"
"10","4.910366415977478","4.3427629470825195","6.306232452392578","5.078591823577881","4.97955846786499","5.191975116729736","24.264026880264282","8.005553245544434","42.55794906616211","49.29179859161377","45.231689453125","52.22787857055664","5.14667534828186","5.077553749084473","5.179507255554199"
"11","4.670695662498474","4.2451276779174805","5.535884857177734","4.988028287887573","4.859513282775879","5.168890953063965","22.53057610988617","6.824454307556152","41.13702392578125","48.26221752166748","43.81197738647461","50.63880920410156","5.099023103713989","4.98030948638916","5.16846227645874"
"12","4.446049928665161","4.068262577056885","5.18677282333374","4.777360200881958","4.730803966522217","4.812053680419922","21.89703333377838","6.8675618171691895","40.53569030761719","48.04483127593994","43.33137130737305","50.13453674316406","4.910573840141296","4.77224063873291","5.112745761871338"
"13","4.1256794929504395","3.732825756072998","4.999885082244873","4.6663864850997925","4.578431129455566","4.757160663604736","20.222136974334717","6.071549415588379","37.651187896728516","46.40405082702637","40.8608283996582","49.73160171508789","4.805362939834595","4.715350151062012","5.007874488830566"
"14","4.073485910892487","3.657759189605713","4.95844030380249","4.627932071685791","4.4450201988220215","4.812042236328125","18.90075659751892","5.669281959533691","35.18250274658203","45.416399002075195","38.9540901184082","49.14385986328125","4.721957325935364","4.6462531089782715","4.807310104370117"
"15","3.8552016615867615","3.583219289779663","4.444374084472656","4.3815085887908936","4.308124542236328","4.47047758102417","17.848153352737427","5.213749408721924","35.45414733886719","44.5432825088501","38.136009216308594","47.448509216308594","4.522894620895386","4.252648830413818","4.669878959655762"
"16","3.665611505508423","3.198543071746826","4.5104780197143555","4.134839057922363","4.0542073249816895","4.23453426361084","16.40694832801819","4.7668867111206055","32.578834533691406","43.51068592071533","36.72298049926758","47.10716247558594","4.28350293636322","4.163425922393799","4.543027877807617"
"17","3.40217924118042","2.9462809562683105","4.497159481048584","3.9987102150917053","3.9092655181884766","4.156943321228027","16.167757749557495","4.9031500816345215","31.981002807617188","43.24788856506348","36.3499641418457","46.878719329833984","4.155646920204163","4.020848274230957","4.401649475097656"
"18","3.28969544172287","2.803743839263916","4.269360065460205","3.8281158208847046","3.788815975189209","3.8490681648254395","15.20583200454712","4.383992671966553","30.742568969726562","42.31680870056152","34.46623229980469","46.089115142822266","3.970823109149933","3.829669237136841","4.283154010772705"
"19","3.0726744532585144","2.6119132041931152","3.95231556892395","3.564882516860962","3.5095620155334473","3.60701322555542","14.107468724250793","4.05790376663208","29.084074020385742","41.26806831359863","33.114707946777344","45.050315856933594","3.7451403737068176","3.4017133712768555","3.997654438018799"
"20","2.8439109921455383","2.2695350646972656","3.8239481449127197","3.4141202569007874","3.3570456504821777","3.4850127696990967","13.43689239025116","4.1234822273254395","27.549795150756836","40.54740905761719","32.54907989501953","44.34379577636719","3.579774498939514","3.4075779914855957","3.8592336177825928"
"21","2.6335643529891968","2.1510632038116455","3.661851406097412","3.2283830046653748","3.1973509788513184","3.270214796066284","12.840671181678772","3.931565284729004","26.32500457763672","39.23232078552246","30.727066040039062","43.25225830078125","3.3980208039283752","3.11506986618042","3.74963641166687"
"22","2.5923348665237427","2.045994281768799","3.820657730102539","3.0841808915138245","2.96925687789917","3.223409652709961","11.963576674461365","3.5274128913879395","24.768016815185547","38.21228075027466","29.57872200012207","42.80406951904297","3.3214547634124756","3.1914918422698975","3.619375467300415"
"23","2.439723700284958","1.9020241498947144","3.566890239715576","2.8407008051872253","2.745905637741089","2.925760269165039","11.641566574573517","3.4424383640289307","24.063987731933594","37.90208625793457","28.786041259765625","41.96770477294922","3.051938533782959","2.723766565322876","3.43756365776062"
"24","2.369578778743744","1.8394665718078613","3.533965826034546","2.736902177333832","2.699031352996826","2.803847312927246","10.906310081481934","3.480583906173706","22.21840476989746","36.16475820541382","27.110124588012695","40.13671875","2.920437455177307","2.682568073272705","3.3351588249206543"
"25","2.2176428139209747","1.678330421447754","3.3962209224700928","2.616793930530548","2.555633068084717","2.7179770469665527","10.099151611328125","3.1719307899475098","20.56008529663086","34.908782958984375","25.428691864013672","39.53779983520508","2.7838783264160156","2.596461296081543","3.105116367340088"
"26","2.025393694639206","1.417017936706543","3.1374337673187256","2.3556119203567505","2.1469874382019043","2.4543397426605225","9.562160849571228","2.985308885574341","19.860403060913086","34.42496204376221","24.751258850097656","38.80393981933594","2.5703866481781006","2.353604555130005","3.0278587341308594"
"27","1.9521997570991516","1.5379493236541748","2.977935314178467","2.1993889808654785","2.0979323387145996","2.3114171028137207","9.480843424797058","2.765719413757324","19.467525482177734","33.56545162200928","23.784500122070312","38.87373352050781","2.4208604097366333","2.049015998840332","2.7677879333496094"
"28","1.9154590666294098","1.448962926864624","2.8990769386291504","2.108816772699356","1.9927459955215454","2.2206482887268066","9.329053282737732","2.9459218978881836","19.054428100585938","33.290515422821045","23.33497428894043","38.59099578857422","2.2800350189208984","1.9434151649475098","2.6460776329040527"
"29","1.8474592566490173","1.4045007228851318","2.7651867866516113","1.9757549464702606","1.8839226961135864","2.052306890487671","8.822324693202972","2.720726490020752","17.990665435791016","32.05885696411133","21.946022033691406","36.98798370361328","2.139686405658722","1.828644037246704","2.5684728622436523"
"30","1.7282311618328094","1.3218193054199219","2.6837587356567383","1.7947170734405518","1.7045859098434448","1.868086338043213","8.424107730388641","2.62147855758667","17.310935974121094","31.458985328674316","21.105159759521484","36.906288146972656","1.962177962064743","1.7372536659240723","2.3683900833129883"
"31","1.656494289636612","1.3655030727386475","2.4239139556884766","1.686131477355957","1.597139596939087","1.7776814699172974","8.266311347484589","2.5966615676879883","16.628314971923828","30.631908416748047","20.4072322845459","36.08072280883789","1.866418033838272","1.5259588956832886","2.2082810401916504"
