"Step","optimizer_name: nadam - train_loss","optimizer_name: nadam - train_loss__MIN","optimizer_name: nadam - train_loss__MAX","optimizer_name: sgd - train_loss","optimizer_name: sgd - train_loss__MIN","optimizer_name: sgd - train_loss__MAX","optimizer_name: sgdm - train_loss","optimizer_name: sgdm - train_loss__MIN","optimizer_name: sgdm - train_loss__MAX","optimizer_name: adam - train_loss","optimizer_name: adam - train_loss__MIN","optimizer_name: adam - train_loss__MAX","optimizer_name: adamw - train_loss","optimizer_name: adamw - train_loss__MIN","optimizer_name: adamw - train_loss__MAX"
"0","55.82546361287435","55.45897674560547","56.348514556884766","55.84846591949463","55.45897674560547","56.348514556884766","55.84846591949463","55.45897674560547","56.348514556884766","55.84846591949463","55.45897674560547","56.348514556884766","55.84846591949463","55.45897674560547","56.348514556884766"
"1","44.95824432373047","44.473419189453125","45.2459602355957","49.16270637512207","48.465065002441406","50.774925231933594","49.16270637512207","48.465065002441406","50.774925231933594","51.3810920715332","51.10681915283203","51.5919189453125","51.38165855407715","51.10375213623047","51.59281921386719"
"2","28.282387415568035","27.556659698486328","29.038705825805664","39.98803424835205","39.32496643066406","41.230892181396484","32.56591558456421","31.99744987487793","32.863441467285156","43.917144775390625","43.419429779052734","44.456363677978516","43.8661527633667","43.50775909423828","44.13494110107422"
"3","15.528152147928873","12.319985389709473","18.413129806518555","29.933335304260254","29.297779083251953","30.508548736572266","14.234020948410034","13.732179641723633","14.85250473022461","33.974918365478516","33.7122688293457","34.08723068237305","33.66170883178711","32.938255310058594","34.29927062988281"
"4","6.705598672231038","5.669979095458984","7.255427360534668","21.358736991882324","21.188974380493164","21.579030990600586","7.785185813903809","7.615939617156982","8.06517505645752","24.30761957168579","23.035001754760742","25.101192474365234","23.948369026184082","22.696008682250977","25.03199005126953"
"5","4.882704099019368","4.530085563659668","5.299537658691406","15.315154552459717","14.900430679321289","15.852149963378906","8.188240647315979","7.865844249725342","8.546329498291016","16.156054973602295","15.60877799987793","16.693065643310547","14.977100372314453","13.981083869934082","15.797060012817383"
"6","4.419527689615886","4.282705307006836","4.580815315246582","12.918420553207397","12.577404975891113","13.499982833862305","9.476592540740967","9.03909969329834","9.965080261230469","9.513625383377075","9.074565887451172","10.284369468688965","8.82757568359375","8.198989868164062","9.151283264160156"
"7","3.90075691541036","3.8194656372070312","4.058941841125488","10.663006782531738","10.237388610839844","11.24582576751709","10.044415712356567","9.792205810546875","10.349281311035156","6.21161675453186","6.029111385345459","6.563323497772217","5.973639607429504","5.90346622467041","6.097929954528809"
"8","3.5795799096425376","3.3962926864624023","3.7955217361450195","9.103208780288696","8.73831844329834","9.530933380126953","9.900790214538574","9.711708068847656","10.320491790771484","5.31455397605896","5.265364170074463","5.399908065795898","5.283387660980225","5.249680519104004","5.348565101623535"
"9","3.1710104942321777","3.120602607727051","3.2192273139953613","8.369910717010498","8.0093994140625","9.234582901000977","9.000144004821777","8.808709144592285","9.454891204833984","5.146726369857788","4.999764919281006","5.210587501525879","5.186766266822815","5.043229103088379","5.28774356842041"
"10","2.8166290124257407","2.728107452392578","2.94754695892334","7.838147759437561","7.436220645904541","8.676562309265137","7.539829611778259","7.359846115112305","7.7902421951293945","5.0168235301971436","4.928840637207031","5.0706329345703125","5.036861538887024","4.954851150512695","5.133546829223633"
"11","2.5902393658955893","2.4707300662994385","2.7052624225616455","6.799654841423035","6.524273872375488","7.4368896484375","5.890493273735046","5.614574909210205","6.213225364685059","4.8098204135894775","4.765720367431641","4.841403484344482","4.825002908706665","4.768178939819336","4.894647598266602"
"12","2.2222304344177246","2.0483975410461426","2.3543875217437744","6.629425764083862","6.388252258300781","7.11946964263916","4.4065101146698","4.082667350769043","4.835485458374023","4.661622047424316","4.568535804748535","4.743405342102051","4.684556603431702","4.542585372924805","4.7434000968933105"
"13","2.0375935633977256","1.9078048467636108","2.1831138134002686","6.140783309936523","5.734271049499512","6.575474739074707","3.283917188644409","3.018604040145874","3.620943546295166","4.578477382659912","4.524885177612305","4.627898693084717","4.595865368843079","4.545762538909912","4.69621467590332"
"14","1.9714209238688152","1.742139458656311","2.2102813720703125","5.859972596168518","5.3351030349731445","6.435131072998047","3.012470006942749","2.524216651916504","3.5432918071746826","4.569382548332214","4.4654340744018555","4.698486328125","4.5626137256622314","4.431241512298584","4.748658180236816"
"15","1.6438734531402588","1.5878269672393799","1.7323498725891113","5.26609194278717","5.092806816101074","5.687350273132324","2.5852938890457153","2.4271230697631836","2.7922887802124023","4.1999770402908325","4.10270357131958","4.285106658935547","4.181149959564209","4.098308563232422","4.246764659881592"
"16","1.5491233666737874","1.4136407375335693","1.6380021572113037","4.75452733039856","4.405240058898926","5.053915023803711","2.3201547861099243","2.034270763397217","2.556649684906006","3.9504061937332153","3.821460247039795","4.113420486450195","3.927359104156494","3.7839536666870117","4.042799949645996"
"17","1.440314809481303","1.2969485521316528","1.6927196979522705","4.795210480690002","4.404345989227295","5.109071254730225","2.2011656165122986","1.8310773372650146","2.836245059967041","3.858597218990326","3.7848148345947266","4.014812469482422","3.8388344049453735","3.7263379096984863","4.032311916351318"
"18","1.3942509492238362","1.3602898120880127","1.4365335702896118","4.336339235305786","4.053064346313477","4.784475326538086","2.1422919034957886","2.020193576812744","2.3814704418182373","3.6963751316070557","3.6113810539245605","3.736992359161377","3.625485360622406","3.5553722381591797","3.6903300285339355"
"19","1.2799179156621296","1.2263565063476562","1.3096492290496826","4.0900357365608215","3.7454850673675537","4.657855987548828","1.9979994297027588","1.9323499202728271","2.0750033855438232","3.3788653016090393","3.326477527618408","3.47161602973938","3.362949788570404","3.34731388092041","3.38545823097229"
"20","1.2645115454991658","1.2286314964294434","1.3155038356781006","3.9877448678016663","3.8256890773773193","4.369921684265137","1.9315036237239838","1.7620518207550049","2.164313316345215","3.2075504064559937","3.1397829055786133","3.2642972469329834","3.1799903512001038","3.1356887817382812","3.294426441192627"
"21","1.2021851142247517","1.1664674282073975","1.2322996854782104","3.804972290992737","3.5836868286132812","4.188788414001465","1.9155012965202332","1.7930333614349365","1.9882086515426636","3.0856109261512756","3.048891067504883","3.1545252799987793","3.059715986251831","3.0297112464904785","3.085765838623047"
