"Step","optimizer_name: nadam - train_loss","optimizer_name: nadam - train_loss__MIN","optimizer_name: nadam - train_loss__MAX","optimizer_name: adam - train_loss","optimizer_name: adam - train_loss__MIN","optimizer_name: adam - train_loss__MAX","optimizer_name: adamw - train_loss","optimizer_name: adamw - train_loss__MIN","optimizer_name: adamw - train_loss__MAX","optimizer_name: sgd - train_loss","optimizer_name: sgd - train_loss__MIN","optimizer_name: sgd - train_loss__MAX","optimizer_name: sgdm - train_loss","optimizer_name: sgdm - train_loss__MIN","optimizer_name: sgdm - train_loss__MAX"
"0","55.84846591949463","55.45897674560547","56.348514556884766","55.84846591949463","55.45897674560547","56.348514556884766","55.84846591949463","55.45897674560547","56.348514556884766","55.84846591949463","55.45897674560547","56.348514556884766","55.84846591949463","55.45897674560547","56.348514556884766"
"1","53.47001552581787","51.313934326171875","54.82184600830078","54.90647602081299","53.89373779296875","55.72197723388672","54.92441463470459","53.91007995605469","55.7025032043457","52.22304725646973","48.60552978515625","56.05093765258789","55.857985496520996","55.29281234741211","56.22646713256836"
"2","50.33523750305176","46.76385498046875","53.039859771728516","52.80771732330322","50.707237243652344","54.121978759765625","52.579193115234375","49.35723876953125","54.53506088256836","46.567057609558105","39.83179473876953","55.52643966674805","54.31174087524414","52.493167877197266","56.08510208129883"
"3","44.72067928314209","36.93836212158203","49.74116134643555","49.6873664855957","48.74994659423828","51.04249572753906","47.80453586578369","40.236839294433594","50.65763854980469","39.87411689758301","28.81877899169922","56.089012145996094","52.12129878997803","48.064605712890625","55.20652770996094"
"4","37.83023405075073","26.00579261779785","46.3330078125","45.79960632324219","41.074241638183594","48.95064163208008","44.409746170043945","33.0149040222168","49.852081298828125","34.71470355987549","21.494232177734375","55.62397003173828","49.799354553222656","44.346248626708984","53.96154022216797"
"5","30.21017026901245","17.391727447509766","39.11425018310547","41.13135051727295","35.76521682739258","47.712440490722656","39.25014114379883","27.280376434326172","47.52494812011719","30.265503406524658","15.378740310668945","55.126930236816406","47.051114082336426","39.72454071044922","53.43547058105469"
"6","23.126195907592773","10.355110168457031","34.14228439331055","36.2156138420105","29.438310623168945","44.34529495239258","33.574538230895996","19.11770248413086","43.04861831665039","27.757418632507324","13.078704833984375","54.51739501953125","44.15517616271973","34.899776458740234","52.779537200927734"
"7","17.99260687828064","6.633667945861816","29.446109771728516","32.59580039978027","25.78009796142578","40.639469146728516","29.80348300933838","13.987489700317383","40.30561828613281","25.673396348953247","10.684491157531738","55.68513488769531","41.248779296875","30.07836151123047","52.54931640625"
"8","13.623623490333557","5.239349842071533","23.244491577148438","27.083338260650635","18.13460922241211","36.477378845214844","25.934574365615845","9.412919044494629","37.00975036621094","23.670391082763672","9.407027244567871","55.25932312011719","37.2701416015625","23.837596893310547","51.12359619140625"
"9","9.668334484100342","4.504230499267578","15.298681259155273","21.881611824035645","12.940719604492188","32.01367950439453","22.03269934654236","6.567200660705566","33.452674865722656","22.078773498535156","8.289331436157227","53.81780242919922","33.35322570800781","19.311416625976562","47.72600555419922"
"10","6.974410772323608","4.5194807052612305","9.545612335205078","17.102145195007324","9.265748977661133","27.33597183227539","17.94740390777588","5.44310188293457","29.13083267211914","21.560673713684082","7.874855041503906","54.061424255371094","30.634294986724854","16.106111526489258","46.884925842285156"
"11","5.805450081825256","4.4324235916137695","7.0699615478515625","14.050528764724731","6.988354682922363","24.70044708251953","15.453755140304565","5.318882942199707","26.054340362548828","20.5958913564682","7.274252891540527","54.29790496826172","27.717566967010498","12.500711441040039","45.17390060424805"
"12","5.118288159370422","4.158570289611816","5.881832599639893","10.980643033981323","5.647224426269531","19.26214027404785","12.535333633422852","5.239297866821289","20.80072784423828","20.530892729759216","6.9325947761535645","54.81175994873047","26.058127880096436","10.783409118652344","43.73270034790039"
"13","4.733791708946228","3.888685703277588","5.341841697692871","8.79959774017334","5.402281761169434","14.868051528930664","10.327351808547974","5.10352897644043","17.795001983642578","19.378252267837524","6.24417781829834","53.34716796875","23.579220056533813","9.151924133300781","40.84686279296875"
"14","4.652760744094849","4.018679618835449","5.128576278686523","7.454173445701599","5.496315956115723","11.681429862976074","8.784976363182068","5.003527641296387","14.664922714233398","18.733121633529663","6.1067657470703125","52.27716064453125","21.416286945343018","8.228494644165039","38.074951171875"
"15","4.447749316692352","3.503401517868042","5.0615363121032715","6.364530444145203","5.066707611083984","9.040111541748047","7.321859002113342","4.847991943359375","11.523591995239258","18.203137516975403","5.030097961425781","52.50048828125","19.75981831550598","7.73792839050293","35.638282775878906"
"16","4.2506184577941895","3.304776191711426","4.866966247558594","5.749579310417175","5.044806480407715","7.348236083984375","6.258672714233398","4.734518527984619","8.886810302734375","17.809889912605286","4.8100762367248535","52.535274505615234","18.157102346420288","7.105255126953125","34.172515869140625"
"17","4.12308269739151","3.303220510482788","4.9583001136779785","5.389488697052002","4.985332012176514","6.287358283996582","5.635210037231445","4.523041248321533","7.023075103759766","18.072025775909424","5.053402423858643","53.307701110839844","17.1697016954422","6.994277477264404","32.93624496459961"
"18","3.93869149684906","3.0570883750915527","4.4755988121032715","5.171285033226013","4.9639573097229","5.681334018707275","5.241289496421814","4.540833473205566","5.822566986083984","17.380679845809937","4.474377632141113","52.238399505615234","15.775264739990234","6.732684135437012","30.673690795898438"
"19","3.750786006450653","2.7117624282836914","4.364289283752441","4.935513377189636","4.761080265045166","5.25876522064209","5.050542593002319","4.437302589416504","5.324921131134033","16.887132465839386","3.9092886447906494","51.99458312988281","14.379197239875793","6.12629508972168","28.102630615234375"
"20","3.6278642416000366","2.499999523162842","4.285769462585449","4.7417601346969604","4.511528968811035","5.078192710876465","4.933692693710327","4.120394229888916","5.307432174682617","17.012117505073547","3.97257661819458","52.44475173950195","13.34344744682312","6.1619672775268555","26.50278663635254"
"21","3.4724649786949158","2.222912549972534","4.233803749084473","4.656033635139465","4.375604629516602","5.022036075592041","4.8461374044418335","3.985424518585205","5.208120346069336","16.64026689529419","3.7705984115600586","51.706825256347656","12.374687433242798","5.9164628982543945","24.229782104492188"
"22","3.399954617023468","2.4056777954101562","4.153565406799316","4.60540497303009","4.430197238922119","4.931667327880859","4.853927135467529","3.819838523864746","5.329917907714844","16.46816462278366","3.9432361125946045","51.452430725097656","11.519528985023499","5.458652019500732","22.56692886352539"
"23","3.1672279238700867","2.098737955093384","3.931703567504883","4.501799941062927","4.330585956573486","4.9278388023376465","4.6793360114097595","3.8307111263275146","5.119534492492676","16.467621982097626","3.676614999771118","51.989280700683594","10.875962734222412","5.539666175842285","21.2021427154541"
"24","3.0631918609142303","1.947609543800354","3.8131484985351562","4.488866448402405","4.295893669128418","4.899357318878174","4.661012828350067","3.793250799179077","5.1382036209106445","16.13774335384369","3.412863254547119","51.278202056884766","10.012311458587646","5.2545671463012695","19.2029972076416"
"25","2.967946380376816","1.890553593635559","3.719764232635498","4.3784449100494385","4.231669902801514","4.684330940246582","4.536994457244873","3.460644245147705","5.073528289794922","15.596285223960876","3.2675280570983887","49.903385162353516","9.248119354248047","4.885229587554932","17.493709564208984"
"26","2.828878164291382","1.752457857131958","3.5948586463928223","4.237012028694153","4.015934944152832","4.657776832580566","4.430294871330261","3.3255996704101562","5.001699924468994","15.418270349502563","2.952230930328369","50.36465835571289","8.574096322059631","4.590951919555664","16.243453979492188"
"27","2.719794124364853","1.5798307657241821","3.66800594329834","4.091181635856628","3.6987011432647705","4.512748718261719","4.2530893087387085","3.0585837364196777","4.889169692993164","15.335655093193054","2.894120216369629","49.72039794921875","8.335067629814148","4.407556533813477","15.457825660705566"
"28","2.6177585124969482","1.4910609722137451","3.5812809467315674","3.9645556807518005","3.6231775283813477","4.3263044357299805","4.192221939563751","3.0362436771392822","4.835923194885254","15.615830183029175","2.8569908142089844","50.7008171081543","8.120636224746704","4.380671501159668","15.014113426208496"
"29","2.5224679112434387","1.4419198036193848","3.32293701171875","3.838342845439911","3.5603229999542236","4.336621284484863","4.11812549829483","3.017047643661499","4.606618881225586","14.936931371688843","2.5974340438842773","49.334808349609375","7.442711353302002","4.1303277015686035","13.623626708984375"
"30","2.3712742626667023","1.4655320644378662","3.1425552368164062","3.7592756152153015","3.5450806617736816","4.210592269897461","3.9966976642608643","2.7091383934020996","4.560800075531006","15.020145297050476","2.75144100189209","49.79884338378906","7.018357634544373","3.989352226257324","12.634710311889648"
"31","2.2334130108356476","1.320026159286499","3.00408935546875","3.7107218503952026","3.4222986698150635","4.141101360321045","3.9102425575256348","2.5431652069091797","4.589611530303955","14.756236553192139","2.5575342178344727","48.89677429199219","6.967346429824829","3.8920984268188477","12.603175163269043"
"32","2.1712847352027893","1.2903398275375366","2.901731252670288","3.664911985397339","3.3905553817749023","4.233804702758789","3.838817000389099","2.624083995819092","4.496794700622559","14.793832898139954","2.427201747894287","49.43183898925781","6.483197450637817","3.62368106842041","11.528919219970703"
"33","2.0946565866470337","1.347287654876709","2.754629611968994","3.528045892715454","3.0796217918395996","4.128335475921631","3.746569514274597","2.4698848724365234","4.442838191986084","14.73354023694992","2.486421585083008","49.469482421875","6.264327704906464","3.5427212715148926","11.045392036437988"
"34","2.010609418153763","1.3156615495681763","2.6274194717407227","3.391322612762451","2.9450559616088867","4.063396453857422","3.676611304283142","2.3507590293884277","4.374671459197998","14.39483243227005","2.4461939334869385","48.555946350097656","5.985056698322296","3.2371203899383545","10.468114852905273"
"35","1.9719896912574768","1.3413183689117432","2.6264231204986572","3.3085440397262573","2.858072519302368","3.957995653152466","3.6002402901649475","2.1288347244262695","4.376974105834961","14.580332636833191","2.314919948577881","49.36042404174805","5.7544673681259155","3.1427741050720215","10.011384963989258"
"36","1.8518313467502594","1.237969160079956","2.4260427951812744","3.211100935935974","2.798460006713867","3.9334897994995117","3.460893452167511","2.1073930263519287","4.186964511871338","14.337061107158661","2.1933674812316895","48.59407043457031","5.619015753269196","2.8162684440612793","10.039521217346191"
"37","1.8277244567871094","1.3088059425354004","2.410268783569336","3.1352861523628235","2.703073501586914","3.859029531478882","3.381191849708557","1.9613070487976074","4.086446762084961","14.481079041957855","2.4095215797424316","49.01356887817383","5.632415950298309","2.976562261581421","9.824661254882812"
"38","1.670457512140274","1.2190848588943481","2.1549086570739746","2.9491066932678223","2.580545425415039","3.5688204765319824","3.2159575819969177","1.8129754066467285","3.8756155967712402","14.111527800559998","2.114982843399048","48.30256652832031","5.255472779273987","2.646941661834717","9.251225471496582"
"39","1.7241527438163757","1.2260946035385132","2.170422077178955","2.984709918498993","2.5735716819763184","3.503678798675537","3.2144569754600525","1.7457270622253418","3.877026319503784","13.739556074142456","2.1811912059783936","46.5812873840332","5.42212176322937","2.84179425239563","9.756274223327637"
"40","1.6208896338939667","1.2463715076446533","1.9955328702926636","2.815214455127716","2.3145980834960938","3.533794403076172","3.0884504914283752","1.8091316223144531","3.8019323348999023","14.033656597137451","2.2014243602752686","47.916542053222656","5.045755445957184","2.6729273796081543","8.614148139953613"
"41","1.6119059920310974","1.2249584197998047","1.9940435886383057","2.7311920523643494","2.1245007514953613","3.4882500171661377","3.0434679090976715","1.7359308004379272","3.806058406829834","14.010861933231354","2.0730674266815186","48.18254470825195","4.955969154834747","2.5180466175079346","8.540630340576172"
"42","1.5773785710334778","1.191354513168335","1.9496397972106934","2.6408901810646057","2.1324868202209473","3.3680052757263184","2.987092822790146","1.5701090097427368","3.781867027282715","13.501131474971771","2.0061094760894775","46.447052001953125","4.755486845970154","2.482917308807373","8.227073669433594"
"43","1.533267080783844","1.1741468906402588","1.9449416399002075","2.5510942935943604","1.9949584007263184","3.3310744762420654","2.933525413274765","1.5375083684921265","3.7773423194885254","13.667432308197021","1.964916706085205","46.98475646972656","4.684432864189148","2.505495071411133","8.068108558654785"
"44","1.4990755021572113","1.1524486541748047","1.908372402191162","2.503835618495941","1.934699296951294","3.1531286239624023","2.915655553340912","1.3620612621307373","3.7970330715179443","13.509099960327148","2.107790231704712","46.176795959472656","4.853724837303162","2.6126928329467773","8.6365385055542"
"45","1.471897304058075","1.183415412902832","1.8415133953094482","2.4258334636688232","1.8609991073608398","3.1190035343170166","2.84499990940094","1.3897676467895508","3.745271682739258","13.550945103168488","2.276710271835327","46.201141357421875","4.64225172996521","2.624103546142578","7.88693380355835"
"46","1.3556624948978424","1.0692112445831299","1.611429214477539","2.248021811246872","1.7071764469146729","3.018415927886963","2.7165722846984863","1.3585071563720703","3.5385656356811523","13.215225756168365","1.781846046447754","45.959808349609375","4.441239595413208","2.1826019287109375","8.16773796081543"
"47","1.3797053396701813","1.1660771369934082","1.5813120603561401","2.224113404750824","1.7312400341033936","2.994513511657715","2.616050750017166","1.3344334363937378","3.2678327560424805","13.045714259147644","1.8530406951904297","45.23540496826172","4.33281672000885","2.2364509105682373","7.699800968170166"
"48","1.3361460268497467","1.0906084775924683","1.5075843334197998","2.0906333327293396","1.597606897354126","2.895236015319824","2.486972391605377","1.3605735301971436","3.119612216949463","13.037432372570038","1.801666021347046","45.38148498535156","4.169639587402344","2.034210681915283","7.388708591461182"
"49","1.3204558491706848","1.1379156112670898","1.560210943222046","2.023011803627014","1.584768295288086","2.6636390686035156","2.4090196788311005","1.1929315328598022","3.1374056339263916","12.966599464416504","1.8356642723083496","44.93706512451172","4.125913143157959","2.264993190765381","7.195756912231445"
"50","1.3530041873455048","1.1568249464035034","1.5634396076202393","1.9863503873348236","1.484695553779602","2.504180431365967","2.4077133536338806","1.2080590724945068","3.1236538887023926","12.895142674446106","1.9692497253417969","44.77147674560547","4.002240538597107","2.23638916015625","6.836039066314697"
"51","1.3492391109466553","1.0518665313720703","1.5049431324005127","1.933351755142212","1.3697075843811035","2.589988946914673","2.410257250070572","1.3700193166732788","3.0738675594329834","12.570686042308807","1.7748491764068604","43.25138473510742","4.142055928707123","2.27968430519104","7.3032050132751465"
"52","1.2334474623203278","1.1337263584136963","1.402963399887085","1.749461680650711","1.366718053817749","2.2489657402038574","2.257850766181946","1.113678216934204","2.9548254013061523","12.687274366617203","1.7439137697219849","44.48051452636719","3.8119035959243774","2.022587776184082","6.873985290527344"
"53","1.3140509128570557","1.1560178995132446","1.4175951480865479","1.8175749480724335","1.379648208618164","2.3417108058929443","2.3320531845092773","1.2419404983520508","2.999846935272217","12.6070756316185","1.880000352859497","43.71613311767578","3.902458071708679","2.214277744293213","6.802992820739746"
